,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_80,M_81,M_83,M_84,M_85,M_87,M_88,M_89,M_90,M_91,M_92,M_93,M_94,M_95,M_96,M_97,M_98,M_99,M_100,M_101,M_102,M_103,M_105,M_106,M_107,M_108,M_109,M_110,M_111,M_112,M_113,M_114,M_115,M_116,M_117,M_118,M_119,M_120,M_121,M_122,M_123,M_124,M_125,M_126,M_127,M_128,M_129,M_130,M_131,M_132,M_133,M_134,M_135,M_136,M_137,M_138,M_139,M_140,M_141,M_142,M_143,M_144,M_145,M_146,M_147,M_148,M_149,M_150,M_151,M_152,M_153,M_154,M_155,M_156,M_157,M_158,M_159,M_160,M_161,M_162,M_163,M_164,M_165,M_166,M_167,M_168,M_169,M_170,M_171
s_016um_00055_00398-1,0.0033488274,0.0021451563,0.000108495355,1.0192394e-05,0.0018151253,0.0050986707,3.997609e-05,0.00013966113,0.0031204522,0.005719155,2.9016286e-05,6.9849193e-09,0.0033004433,0.009960979,0.0022009164,-1.3085082e-07,0.005483836,-1.7462298e-10,6.6589564e-07,9.573996e-07,0.014987588,0.0056475103,0.0001110211,0.00048255175,-1.1418015e-06,2.7157366e-05,-0.00022561848,0.00019334257,0.021963745,0.016506672,0.00036509335,0.014211774,0.011985123,0.010517865,-7.60518e-06,-3.6042184e-07,-2.644211e-05,-1.036562e-06,0.00306122,-3.715977e-07,-4.8428774e-08,0.013841122,0.00011305511,0.020429611,4.8350543e-05,0.008128852,0.00018237531,0.00014875829,-0.00024019182,4.7568232e-05,0.014984548,0.00011063367,4.0978193e-07,8.871406e-05,0.018906415,0.00041012466,0.0013504326,0.011114389,0.00234285,-2.9336661e-08,0.0002206415,0.00757277,0.017646223,0.014767617,0.013247699,3.053993e-05,0.02425921,4.0620565e-05,0.00024209917,0.022886693,5.191192e-06,3.958121e-09,9.2778355e-06,0.0018768013,0.004782632,9.432435e-06,3.6727637e-05,1.8253922e-07,0.032270342,6.31921e-05,0.00065878034,8.414686e-05,0.0040329546,0.025294125,0.00021297485,0.010481566,0.0056120157,0.0035872757,9.895861e-05,-6.036088e-05,-1.109764e-05,0.003979802,0.0037794113,0.0075285137,-0.0001417175,0.005020812,0.009004712,0.0010939538,1.010485e-07,0.014615715,2.1278858e-05,0.005402878,0.009542465,0.00633198,0.0067304075,0.008075327,0.028610855,0.0044662654,0.00015916675,0.00071404874,0.018857956,0.00724563,0.009234995,3.3993274e-08,-1.094304e-06,0.0035464317,0.015819997,-1.7862767e-06,0.027208477,3.296882e-05,0.004608944,8.715689e-05,1.2110919e-05,-0.00014465302,8.098781e-06,3.214553e-05,0.021510273,-0.00013716519,9.1314316e-05,2.6077032e-08,0.0042821914,0.015678823,0.0052829534,0.022089541,-3.356859e-05,0.027103692,0.04630813,0.00343436,0.03745663,3.5233796e-05,0.013221234,0.00089633465,-4.4889748e-07,0.0037440509,0.03194046,0.031139344,0.032280475,1.5605241e-05,0.02499646,-1.1496246e-05,0.000445202,0.0010279268,0.001115188,1.4659017e-06,1.7810613e-05,0.030061454,4.0333718e-05,0.00014142692,0.0005538538,1.8242747e-05,0.00020951778,0.009886831,6.9413334e-05,-1.2367964e-06,0.0023519844,2.5797635e-07,0.00476712,0.0151979625
s_016um_00282_00000-1,0.0033318847,0.0022207052,0.00012980402,1.1526048e-05,0.0019345284,0.0051425844,4.030764e-05,0.00023563951,0.0031550229,0.005830884,2.9008836e-05,-2.849847e-07,0.0033052713,0.009960979,0.0021988302,-1.1501834e-07,0.005484432,-9.313226e-10,5.6914985e-05,9.573996e-07,0.015004396,0.0017263293,0.00011104345,0.00045253336,3.678724e-08,1.5888363e-05,-0.00020691007,0.0025687367,0.022255212,0.015977502,0.00034505874,0.01383695,0.01349014,0.013031989,-3.6988407e-05,0.0,-2.6132911e-05,-1.036562e-06,0.002966255,-1.5739352e-07,-3.8649887e-08,0.01477325,0.00011346489,0.02044329,0.00019238144,0.008433312,0.00045772642,0.0001816526,-0.00024018437,3.5911798e-06,0.015002251,0.00011063367,4.4703484e-07,6.745756e-05,0.018776864,0.0003971681,0.0013606548,0.0093483925,0.00234285,-2.9336661e-08,0.00037898868,0.0075725913,0.017646223,0.014768392,0.013240814,2.7168542e-05,0.02471286,0.00023011118,0.0002554655,0.02301389,5.353242e-06,-7.5716525e-07,-1.3820827e-06,0.0018765926,0.004776329,-3.3713877e-06,3.6727637e-05,7.21775e-08,0.032389045,5.2399933e-05,0.00065873563,8.414686e-05,0.003952265,0.025294125,0.00012642145,0.010482132,0.005612135,0.0035859495,9.30801e-05,-1.0367483e-05,-1.1082739e-05,0.0039917976,0.003779605,0.0075285137,-0.0001417175,0.00502865,0.009023011,0.0011423826,1.9092113e-08,0.014601648,2.1278858e-05,0.0054246187,0.009542704,0.0063337386,0.0066943467,0.00771603,0.028611898,0.0044490695,5.272031e-05,0.00085909665,0.018861055,0.0072600543,0.009119064,5.122274e-08,1.3969839e-09,0.0030095726,0.015780717,-2.5238842e-07,0.027246028,4.561618e-06,0.004608944,0.00015819073,1.2114644e-05,-0.00014322251,8.098781e-06,4.9781054e-05,0.021502018,-0.00013379008,0.00011368841,5.843118e-06,0.004313752,0.01618877,0.0062954426,0.02267176,-2.6009977e-05,0.027680516,0.048779815,0.00345096,0.03761971,3.7766993e-05,0.013221234,0.0008853525,-4.4889748e-07,0.0037440509,0.029928237,0.030468225,0.03228116,1.5672296e-05,0.025837421,-5.580485e-06,0.00044526905,0.0016404092,0.0020805448,3.958121e-06,1.5541911e-05,0.029995859,3.6332756e-05,0.00015225261,0.000554733,1.8265098e-05,0.00022742152,0.01052326,0.00023180991,4.6167523e-05,0.0033658892,4.740432e-07,0.00476934,0.015114754
s_016um_00389_00355-1,0.0032409579,0.0020585358,1.6480684e-05,8.575618e-06,0.0018900484,0.0050307065,4.1302294e-05,2.4382025e-05,0.0031683445,0.0056236684,2.201274e-05,-5.549565e-05,0.0033091456,0.00996086,0.0021973103,-1.1688098e-07,0.0054843724,4.004687e-08,1.0244548e-08,9.573996e-07,0.01499927,0.00022342056,0.00011099875,0.00044468045,-2.8662384e-05,7.769093e-06,-0.00020305812,0.003239721,0.021158904,0.015091211,0.00020384789,0.013846993,0.0018770993,0.0072772503,-0.00041984022,2.1196902e-06,-2.5626272e-05,-1.0356307e-06,0.0021854788,-9.397045e-07,1.564622e-05,0.01387459,0.00011282414,0.02039808,2.561137e-08,0.007946551,6.5300614e-05,0.00027624518,-4.0084124e-06,1.1483207e-06,0.014900237,0.00011088699,2.8591603e-07,-3.678724e-08,0.017914474,0.00032568723,0.0012121946,0.007684022,0.00234285,-4.9825758e-08,0.000163652,0.00757277,0.017646223,0.014769286,0.013249338,6.362796e-06,0.0239712,5.8673322e-08,0.00022935867,0.022308797,6.077811e-06,-2.0675361e-07,-1.4454126e-05,0.0018744022,0.0047824383,-0.00016905367,3.6727637e-05,0.00055003166,0.03376338,3.9305538e-05,0.00065872073,8.414686e-05,0.0037628561,0.025294125,7.349998e-05,0.010480255,0.00570935,0.0035912246,9.409338e-05,-9.559095e-05,-1.0851771e-05,0.0039517283,0.003766045,0.0075285137,-0.0001417175,0.0050653517,0.009013861,0.0008701533,1.8626451e-09,0.014531523,2.1290034e-05,0.005449474,0.009527206,0.0046553463,0.0067381263,0.0076771975,0.028610677,0.0044439584,2.8144568e-06,0.0004406646,0.018842608,0.0070679784,0.008895844,1.9099563e-05,-1.4703721e-05,0.0025684237,0.014555484,0.00029487163,0.03053379,-4.874915e-05,0.004608944,0.0016308874,1.2200326e-05,-0.00010022521,8.098781e-06,6.300211e-05,0.021684796,-9.866059e-05,0.00018335134,-1.1641532e-10,0.0042598546,0.015621394,0.0044654906,0.021495253,-5.0008297e-05,0.026763886,0.039764404,0.0034329146,0.03744164,2.9619783e-05,0.013221145,0.0008164644,-4.498288e-07,0.0037440509,0.02845794,0.029993683,0.03227946,1.5508384e-05,0.02340144,-2.0053238e-05,0.00044571608,0.0005360618,7.502735e-05,9.9185854e-08,6.47828e-06,0.02972421,-2.7246773e-05,0.00013303012,0.0004881844,1.8246472e-05,0.0001893714,0.009775758,0.00010804832,-9.673089e-05,0.0002727434,3.9115548e-08,0.0047869533,0.014401525
s_016um_00277_00156-1,0.003343448,0.0022915453,2.612546e-05,9.95025e-06,0.0017857254,0.0050474554,3.943965e-05,0.00020587444,0.0030137151,0.005798787,3.4481287e-05,-1.0114163e-06,0.0033162683,0.00996086,0.0021972656,-1.4714897e-07,0.005484998,2.9057264e-07,6.872043e-05,9.573996e-07,0.014991432,0.002484411,0.000111036,0.00044485927,-2.7474016e-08,1.3284385e-05,-0.00024548173,0.0017483532,0.021903008,0.01606509,0.00031719357,0.0137709975,0.019471318,0.010833889,-0.00016355515,-3.1199306e-08,-2.6218593e-05,-1.036562e-06,0.0027078986,-4.945323e-07,-3.9115548e-08,0.013900906,0.00011309981,0.02047202,3.8571656e-05,0.008086324,0.00018118322,0.00015881658,-0.00024018437,1.1008233e-05,0.015003592,0.00011063367,4.535541e-07,1.4867634e-05,0.018538058,0.00039254874,0.0013439208,0.010112464,0.00234285,-4.2375177e-08,0.00019942224,0.007572472,0.017646223,0.014768362,0.013239145,2.1386892e-05,0.024571866,0.00012605637,0.0002322346,0.02258122,5.8040023e-06,-8.4694475e-06,-6.377697e-06,0.0018807948,0.0047758967,9.278208e-05,3.6727637e-05,-1.0477379e-09,0.033436358,0.00053711236,0.00065873563,8.414686e-05,0.0046325624,0.025294125,4.2710453e-05,0.0104852915,0.0056093633,0.0035862029,9.016693e-05,-2.5495887e-05,-1.110509e-05,0.00405699,0.0038132519,0.0075285137,-0.0001417175,0.0050333887,0.009083927,0.0011211038,2.7008355e-08,0.014748991,2.1278858e-05,0.0054216683,0.009537756,0.0066384077,0.006758243,0.0077645183,0.028610796,0.004453242,4.3436885e-05,0.00063405186,0.018859416,0.007531494,0.008984387,3.0267984e-09,8.5216016e-08,0.0027872324,0.015992105,-2.9522926e-06,0.028431445,2.1748245e-05,0.004608944,2.413243e-05,1.2140721e-05,-0.00014778227,8.098781e-06,8.495897e-05,0.021404922,-0.00013094395,7.0273876e-05,6.5471977e-06,0.004164666,0.016051024,0.0059409738,0.022439957,-2.9150397e-05,0.02687341,0.04658842,0.00343436,0.037454307,3.33786e-05,0.0132210255,0.0009044558,-4.498288e-07,0.0037440509,0.031242639,0.030457169,0.032280356,1.5594065e-05,0.025136262,-7.690862e-06,0.00044517964,0.0015516728,0.0012879819,1.7229468e-06,1.3656914e-05,0.02986914,1.9248575e-05,0.0001553446,0.00052886456,1.8239021e-05,0.00020232797,0.01136139,3.342703e-05,2.1252781e-06,0.0011473,1.2433156e-07,0.004772201,0.0151712
s_016um_00233_00164-1,0.0033325404,0.0020386279,0.00022049248,1.270324e-05,0.0018167347,0.005031839,4.396215e-05,9.7863376e-05,0.0030100644,0.005624771,2.713129e-05,4.9360096e-08,0.0033189952,0.00996086,0.0022046715,-1.1175871e-07,0.005483836,-6.9849193e-09,0.00023194402,9.573996e-07,0.015000433,0.0033947825,0.0001110062,0.0004549101,-1.7695129e-08,1.347065e-05,-0.00020317733,9.468943e-05,0.021495104,0.015191227,0.00031140447,0.014154851,0.004182905,0.0106366575,-0.00021762401,3.4924597e-07,-2.6430935e-05,-1.036562e-06,0.0032986403,-1.3364479e-07,-5.5879354e-09,0.01265192,0.00011228025,0.020463973,-5.9958547e-06,0.007817477,5.932525e-06,0.00015354902,-0.00024019182,1.1708587e-05,0.01500386,0.00011063367,3.9394945e-07,-6.8675727e-06,0.01770392,0.00033156574,0.0014165938,0.009943128,0.00234285,-3.9115548e-08,6.3393265e-05,0.007573098,0.017646223,0.014777601,0.013239443,3.7528574e-05,0.024655998,0.00017740577,0.00022026896,0.022293746,1.2025237e-05,-2.9064715e-05,-3.4924597e-10,0.0018792897,0.004781842,0.0003906861,3.6727637e-05,-1.7695129e-08,0.03470975,0.0037037581,0.00065883994,8.414686e-05,0.0042944103,0.025294125,0.00046720356,0.010463417,0.005609095,0.003586039,8.959323e-05,1.7462298e-10,-1.110509e-05,0.004021883,0.0037914515,0.0075285137,-0.0001417175,0.005022526,0.009048104,0.0010154098,2.0395964e-07,0.014802843,2.1278858e-05,0.0054042786,0.009533167,0.0066262186,0.0067495108,0.009058446,0.028610677,0.0045008063,9.915978e-05,0.0007465333,0.018870562,0.0069968402,0.010197639,-1.2060627e-07,-3.3527613e-06,0.0021941066,0.017025948,-3.7629157e-05,0.026545942,2.9884279e-05,0.004608944,0.00011057407,1.2069941e-05,-0.00014823675,8.098781e-06,8.884817e-06,0.021351844,-0.00013983995,0.00016290694,5.122274e-09,0.0040522665,0.015801013,0.008053809,0.021284997,-4.258752e-05,0.025567025,0.038633853,0.0034301132,0.03742081,2.6468188e-05,0.013221055,0.00076034665,-4.498288e-07,0.0037440509,0.025325477,0.029382795,0.03228414,1.5959144e-05,0.02273506,-7.9814345e-07,0.0004452765,0.0006112084,0.0014393926,1.3969839e-07,1.1883676e-05,0.02946949,0.0001924932,0.00014231354,0.0004594028,1.8250197e-05,0.00015550852,0.009478599,-7.878989e-07,2.910383e-11,0.0072434843,2.2444874e-07,0.0047697574,0.016522467
s_016um_00012_00301-1,0.0032996684,0.002183184,0.00015611947,1.4860183e-05,0.001929298,0.005183369,4.081428e-05,0.00015424192,0.0031255335,0.0057819486,2.3454428e-05,-1.7285347e-06,0.0033002347,0.00996089,0.0022037625,-1.4808029e-07,0.0054840147,9.9185854e-08,5.3294003e-05,9.573996e-07,0.014996231,0.0018653274,0.000111065805,0.00045011938,0.0,1.5668571e-05,-0.0002465695,0.0055521727,0.022576153,0.015223354,0.00035641342,0.013816744,0.022990018,0.013235629,-1.5284866e-05,-2.3841858e-07,-1.3727695e-06,-1.036562e-06,0.0028531402,-1.6763806e-08,-1.5133992e-08,0.0139427185,0.0001135841,0.02039978,1.7959625e-05,0.008709222,0.0011010319,0.00018846244,-0.00024019182,4.5485795e-06,0.015003175,0.00011063367,4.6286732e-07,0.00012201071,0.018986672,0.00039238483,0.0014380813,0.009141386,0.0023428947,-2.6077032e-08,0.0002676025,0.0075734556,0.017646223,0.014780104,0.013244271,1.6875565e-05,0.024837554,0.00033012778,0.0002526343,0.022898078,4.451722e-06,-3.3713877e-07,6.146729e-08,0.0018791407,0.0047840476,0.00050682575,3.6727637e-05,3.6042184e-07,0.032801658,0.00019985437,0.00065873563,8.414686e-05,0.003969699,0.025294125,5.3610653e-05,0.010510892,0.00560984,0.0035844892,9.699911e-05,-5.379319e-06,-1.110509e-05,0.0039851815,0.0037798434,0.0075285137,-0.0001417175,0.005023718,0.009058595,0.001046747,6.2864274e-09,0.014597237,2.1278858e-05,0.00539653,0.009534895,0.0068338513,0.0067752004,0.0078030527,0.02861169,0.004374802,1.758337e-06,0.0008273423,0.018850297,0.007170379,0.008733332,3.3304095e-06,-6.519258e-08,0.0032892376,0.016966313,-3.2037497e-06,0.027938902,1.5746802e-05,0.004608944,0.00017190725,1.2088567e-05,-0.00014609098,8.098781e-06,8.022785e-05,0.021563232,-0.00013878196,6.882101e-05,6.156042e-06,0.0041964203,0.016161948,0.0054557323,0.022711724,-2.08579e-05,0.0266698,0.050272703,0.0034309328,0.037427247,2.8710812e-05,0.013221055,0.0007777661,-4.498288e-07,0.0037440509,0.026933104,0.029871434,0.032285213,1.6067177e-05,0.02528429,-3.2167882e-06,0.00044564903,0.0031880438,0.00085768104,6.267801e-07,1.2747943e-05,0.029753298,0.00015504658,0.0002027005,0.0004969686,1.8242747e-05,0.00020201504,0.011987209,0.00019394606,-5.5879354e-09,0.004631445,2.2351742e-07,0.0047715157,0.015660405
s_016um_00193_00300-1,0.0033110082,0.0021719337,0.00012025982,1.0784715e-05,0.0018050522,0.0050578713,3.990531e-05,0.0003421679,0.0031755567,0.005828738,2.7693808e-05,-2.2988766e-05,0.003310576,0.00996089,0.0022010058,-1.2712553e-07,0.0054838955,-9.9651515e-08,5.044043e-05,9.573996e-07,0.014987737,0.008156836,0.00011102855,0.0005186796,-2.6542693e-06,4.0508807e-05,-0.00022203475,0.00022964925,0.021757334,0.015666425,0.00031127036,0.014143527,0.017222136,0.010581315,-3.549084e-05,-1.5813857e-06,-2.6419759e-05,-1.036562e-06,0.0028121918,-5.3830445e-07,-4.5169145e-08,0.013761908,0.000113248825,0.020356953,7.417053e-06,0.00852868,0.0012571067,0.00014498085,-0.00024019182,3.8444996e-06,0.01499337,0.00011063367,4.4424087e-07,4.8048794e-05,0.018773586,0.0004117787,0.0013864487,0.01148659,0.00234285,-2.8405339e-08,0.000231646,0.0075733066,0.017646223,0.014767677,0.013243884,1.8656254e-05,0.024483413,3.1735748e-05,0.00023770332,0.022596478,4.1592866e-06,-1.5627593e-06,-1.1436641e-06,0.0018778443,0.004778236,1.0082498e-05,3.6727637e-05,-1.0430813e-07,0.032978296,0.00039437413,0.00065872073,8.414686e-05,0.004333928,0.025294125,3.4488738e-05,0.010464013,0.00560987,0.0035846233,0.000107862055,-2.078712e-06,-1.109764e-05,0.0040358007,0.0037964731,0.0075285137,-0.0001417175,0.005025968,0.009004742,0.0010387152,8.940697e-08,0.014625549,2.1278858e-05,0.0054118037,0.009546965,0.0064975917,0.006699741,0.008180708,0.028610677,0.0043462217,8.08686e-05,0.00068458915,0.018854648,0.0075126886,0.009106487,7.0724636e-06,-8.078292e-06,0.0010540336,0.015776753,-1.3943762e-05,0.028334409,5.6069344e-05,0.004608944,0.000413768,1.2088567e-05,-0.00014770031,8.098781e-06,0.0002187714,0.021520615,-0.0001392588,0.00013498217,-2.59839e-07,0.004225999,0.015690982,0.004783407,0.021541476,-5.201623e-05,0.02658993,0.042901814,0.0034313947,0.037429035,3.0569732e-05,0.013221055,0.0008325577,-4.498288e-07,0.0037440509,0.028663635,0.030018777,0.032280684,1.5623868e-05,0.02378726,-1.0142103e-05,0.00044543296,0.00027553737,0.00051541626,6.221235e-07,1.1537224e-05,0.02980715,2.0053238e-05,0.00012692809,0.0005108118,1.8239021e-05,0.00021374226,0.00814268,0.00019282103,-2.1893531e-05,0.002363205,5.2619725e-07,0.004778236,0.014953941
s_016um_00136_00262-1,0.0033293068,0.002226323,0.00010705739,1.2472272e-05,0.0018933117,0.005045727,4.13619e-05,0.00044056028,0.0030741543,0.005902201,3.7383288e-05,-1.942739e-06,0.0033135563,0.00996086,0.0022034943,-7.264316e-08,0.0054842234,5.8617443e-06,6.45034e-05,9.573996e-07,0.014984876,0.0014689416,0.00011101365,0.00047270954,-1.0961667e-06,1.0397285e-05,-0.00015313923,0.0027912408,0.022021532,0.01584515,0.0004098341,0.014242679,0.021875918,0.010134667,-0.00020360202,3.7811697e-07,-2.6416034e-05,-1.036562e-06,0.0029575974,-3.306195e-07,-4.2375177e-08,0.013572663,0.00011327118,0.020383805,2.200529e-05,0.00809598,0.00020141155,0.0001373589,-0.00024018437,2.803281e-06,0.015036017,0.00011063367,4.796311e-07,1.3701618e-05,0.018105656,0.00036802888,0.0013982803,0.009910911,0.00234285,-4.0512532e-08,0.00015799701,0.007572502,0.017646223,0.014767855,0.013240486,1.9636005e-05,0.025267512,0.0002732724,0.00024060905,0.022823453,5.7667494e-06,4.544109e-05,-6.5378845e-07,0.0018816888,0.0047745556,6.355718e-05,3.6735088e-05,-2.6635826e-07,0.033229798,0.00042283535,0.00065873563,8.414686e-05,0.0042546093,0.025294125,6.612018e-05,0.010459721,0.0056091547,0.0035858005,9.261072e-05,-1.9930303e-05,-1.110509e-05,0.0040197074,0.003785938,0.0075285137,-0.0001417175,0.005026832,0.00900957,0.0011598617,2.430752e-07,0.014688849,2.1278858e-05,0.0054299533,0.009538859,0.006901115,0.0067608356,0.0074323416,0.028610706,0.0043773055,0.000113375485,0.00074005127,0.018865407,0.007225007,0.00828889,0.0,6.100163e-07,0.0048667043,0.016424447,-4.5634806e-07,0.02851656,4.839152e-05,0.004608944,0.00014468282,1.2077391e-05,-0.00014636666,8.098781e-06,5.0712377e-05,0.021443427,-0.00013265014,9.5784664e-05,1.784414e-06,0.0042298287,0.015854478,0.009142756,0.022411197,-2.6699156e-05,0.026609361,0.046129704,0.0034347177,0.037473023,3.2704324e-05,0.0132210255,0.0008619875,-4.498288e-07,0.0037440509,0.029456615,0.030155063,0.03227991,1.5549362e-05,0.02461505,-7.664785e-06,0.00044512004,0.0012820512,0.0018436164,1.5795231e-06,1.5802681e-05,0.0298765,2.572313e-05,0.00015046448,0.0005230382,1.8239021e-05,0.00019219518,0.01044476,1.1514872e-05,-3.0826777e-07,0.001602307,8.568168e-08,0.0047846586,0.015384316
s_016um_00198_00380-1,0.0033326447,0.0022078902,2.9549003e-05,8.285046e-06,0.0020300895,0.0050636977,4.0337443e-05,0.00024661422,0.0031525642,0.005834639,3.356114e-05,-6.5285712e-06,0.0033048242,0.00996089,0.002198577,-1.3504177e-07,0.0054841638,0.0,3.979355e-05,9.573996e-07,0.014986843,0.0034970194,0.000111050904,0.0004568696,-4.8149377e-07,2.0880252e-05,-0.00023125112,0.0015541166,0.022047728,0.016268462,0.0003379956,0.014069557,0.021166444,0.011083484,-8.05296e-05,9.592623e-07,-2.6162714e-05,-1.036562e-06,0.0028124452,-3.9860606e-07,-4.9360096e-08,0.014354855,0.00011278689,0.020414501,3.431365e-05,0.008523196,0.00013361871,0.00017724931,-0.00024019182,4.431233e-06,0.014955431,0.00011064857,4.5727938e-07,3.9316714e-05,0.018685102,0.00039044768,0.0013914108,0.010371685,0.00234285,-2.9802322e-08,0.0003341362,0.0075728,0.017646223,0.014767379,0.013240606,1.9468367e-05,0.024142146,1.3165176e-05,0.00023373216,0.022916317,4.8168004e-06,1.6856939e-07,-1.8812716e-06,0.0018783659,0.004776433,3.2950193e-06,3.6727637e-05,6.342307e-07,0.033008516,0.00024162233,0.00065872073,8.414686e-05,0.0042944103,0.025294125,0.0019040257,0.010480553,0.0056126714,0.0035853982,9.7714365e-05,-2.7161092e-05,-1.1086464e-05,0.0040391535,0.0038026571,0.0075285137,-0.0001417175,0.0050231963,0.009024411,0.0010193735,1.839362e-08,0.014625013,2.1278858e-05,0.0054160953,0.009542584,0.0065847933,0.006693989,0.007976204,0.028610855,0.0044984072,0.00016201288,0.0005274415,0.018852651,0.007375598,0.008464575,-2.0861626e-07,7.683411e-08,0.004707828,0.01616475,-8.4750354e-08,0.027207494,1.6465783e-05,0.004608944,0.00051523745,1.2144446e-05,-0.00014318526,8.098781e-06,8.6680055e-05,0.0214189,-0.00013812631,7.673353e-05,2.9429793e-07,0.00435324,0.015942216,0.0055572987,0.022073478,-5.089119e-05,0.026128978,0.041276366,0.0034345537,0.03744951,3.0010939e-05,0.013221294,0.00085277855,-4.4889748e-07,0.0037440509,0.028821468,0.029887766,0.032280862,1.5642494e-05,0.02384445,-6.588176e-06,0.0004452616,0.000922367,0.0006248653,1.6093254e-06,1.1038035e-05,0.029688805,6.871298e-05,0.00013014674,0.00051704794,1.8239021e-05,0.00021333992,0.008595556,0.0001687482,-3.0789524e-06,0.002291903,4.0140003e-07,0.0047840625,0.015231252
s_016um_00027_00068-1,0.003293261,0.0021032393,5.2794814e-05,1.0157004e-05,0.0020095408,0.005162224,4.0091574e-05,0.00018972158,0.0030676723,0.0058587193,2.4534762e-05,0.0,0.0033056438,0.009961158,0.0021991879,-1.4016405e-07,0.0054840147,-3.3527613e-08,4.624948e-06,9.573996e-07,0.0149998665,0.0012319535,0.00011102855,0.00046652555,5.820766e-11,1.2714416e-05,-0.00023762882,0.0010585338,0.021889597,0.015742362,0.00031127036,0.014052749,0.005032316,0.011949599,-0.000112600625,-3.6228448e-07,-2.637133e-05,-1.036562e-06,0.002879262,-2.561137e-08,-1.0011718e-08,0.014597297,0.00011317432,0.020485193,1.4342368e-05,0.00857386,0.0002662167,0.0002117306,-0.00024010241,6.593764e-06,0.015018523,0.00011063367,4.6100467e-07,0.00011792034,0.018710196,0.00038760155,0.001402542,0.00906387,0.00234285,-3.7718564e-08,0.00038181245,0.0075725913,0.017646223,0.014772266,0.013240367,1.2166798e-05,0.02465552,0.00021007657,0.00023725629,0.022721022,4.5690686e-06,-1.2759119e-06,2.7008355e-08,0.0018762499,0.0047751367,-2.3826957e-05,3.6727637e-05,0.0,0.033108354,0.00016526133,0.00065875053,8.414686e-05,0.0041479915,0.025294125,6.8787485e-05,0.010873169,0.005610794,0.003589958,9.6432865e-05,-1.5441328e-06,-1.110509e-05,0.0040171593,0.003792867,0.0075285137,-0.0001417175,0.005025491,0.009016842,0.001040265,2.2351742e-08,0.014609218,2.1278858e-05,0.0054316223,0.009532392,0.005720854,0.0067061484,0.007834464,0.028615236,0.0044756085,4.7519803e-05,0.0007247627,0.018858165,0.007318765,0.009625196,1.0570511e-07,-2.2854656e-06,0.0041243136,0.01602614,-8.1490725e-09,0.02833882,3.6153942e-05,0.004608944,5.5421144e-05,1.2084842e-05,-0.00014406443,8.098781e-06,9.312481e-05,0.0215258,-0.00012884289,8.035451e-05,2.2813678e-05,0.0042062104,0.016577065,0.00689885,0.022438884,-2.6546419e-05,0.027288675,0.046110213,0.0034418106,0.03751275,3.4719706e-05,0.013221264,0.0008649081,-4.4889748e-07,0.0037440509,0.02993983,0.03061083,0.032300353,1.758337e-05,0.0237073,-1.007691e-06,0.00044528395,0.0034750402,0.0007237792,1.2777746e-06,1.4431775e-05,0.029792726,0.00034890324,0.0001673922,0.00053375214,1.8253922e-05,0.00023286045,0.011993796,0.00052917004,4.2226166e-06,0.0018702298,1.504086e-07,0.0047656447,0.01564464
