held_out_patient,n_train_patients,n_train_spots,n_test_spots,train_balance,test_balance,auc,accuracy,precision,recall,f1
Patient_1,6,19553,4869,0.19465043727305273,0.49989730950913946,0.8382552781522543,0.7664818237831177,0.787838437638704,0.729252259654889,0.7574141241732452
Patient_2,6,21906,2516,0.25613987035515384,0.25,0.8813815218004875,0.8569157392686805,0.8853868194842407,0.4912559618441971,0.6319018404907976
Patient_3,6,20434,3988,0.25658216697660763,0.25,0.7717812414173313,0.791875626880642,0.8847926267281107,0.19257773319959878,0.3163097199341021
Patient_4,6,22780,1642,0.25588235294117645,0.2503045066991474,0.9386390903287142,0.8891595615103532,0.8136986301369863,0.7226277372262774,0.7654639175257731
Patient_5,6,20256,4166,0.25661532385466035,0.2501200192030725,0.9454056392095376,0.8094095055208833,0.5731995277449823,0.9318618042226487,0.7097953216374269
Patient_6,6,22780,1642,0.25588235294117645,0.2503045066991474,0.9387537282015096,0.879415347137637,0.7214137214137214,0.8442822384428224,0.7780269058295964
Patient_7,6,18823,5599,0.314721351538012,0.05643864975888552,0.8279865918146814,0.9583854259689231,0.9278350515463918,0.2848101265822785,0.4358353510895884
