pathway
Reactome_G2/M DNA Replication Checkpoint R-HSA-69478
"Reactome_Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767"
Reactome_Phosphorylation Of Emi1 R-HSA-176417
Reactome_G0 And Early G1 R-HSA-1538133
GO_Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751)
Reactome_Phosphorylation Of APC/C R-HSA-176412
GO_Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971)
Reactome_Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273
Reactome_Condensation Of Prometaphase Chromosomes R-HSA-2514853
GO_Mitotic Spindle Midzone Assembly (GO:0051256)
GO_Mitotic Spindle Elongation (GO:0000022)
Reactome_E2F-enabled Inhibition Of Pre-Replication Complex Formation R-HSA-113507
GO_DNA Topological Change (GO:0006265)
GO_DNA Conformation Change (GO:0071103)
Reactome_Polo-like Kinase Mediated Events R-HSA-156711
Reactome_G1/S Transition R-HSA-69206
Reactome_S Phase R-HSA-69242
Reactome_TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114
Reactome_Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658
Reactome_APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048
