,SimpleMultiModalNet,EarlyFusionNet,LogisticRegression_Multimodal,LogisticRegression_ExprOnly,LogisticRegression_FluxOnly
Patient_1,0.7067747347048611,0.7347373733373773,0.7168049204362081,0.6936611764155297,0.5047215829779115
Patient_2,0.7364553907721281,0.7011602098466505,0.7163455071294056,0.7359580979284369,0.32887913640032285
Patient_3,0.6234953364412318,0.5812890459694465,0.5998786915800436,0.6183763720626766,0.47087286170383863
Patient_4,0.8681174966284625,0.8701171002055957,0.8135471684913779,0.8335101690238281,0.1838255583926996
Patient_5,0.7310263465930749,0.8213768140405495,0.6804109093788421,0.845716553306076,0.16879300894260685
Patient_6,0.8684089840303768,0.8743572702787786,0.8296703083159414,0.8335101690238281,0.20999724058592853
Mean,0.7557130481950226,0.7638396356130664,0.7261095842219699,0.7601220896267292,0.31118156483388465
Std,0.08774195729097067,0.10401918398138564,0.07807547184932512,0.08484380996391222,0.13540345493961953
