flux_feature,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
M_157,-0.5825941360738663,7.546921911680527e-151,5.883982597461389e-124,0.007716348690799031,0.008606652915887096,0.8965562764306848,6.263945186694838e-149,True,0.5825941360738663
M_130,-0.5730522987221701,6.607677445002868e-145,5.4011877417772325e-120,1.1050970878612589e-07,0.0004014247888280952,0.00027529368355338465,2.7421861396761902e-143,True,0.5730522987221701
M_54,-0.5724149872341902,1.6218382713673896e-144,9.882070954012593e-120,0.005162616945762712,0.005484795234435484,0.941259741721984,4.4870858841164445e-143,True,0.5724149872341902
M_126,-0.5716601736748518,4.6855217704853456e-144,2.019304763526565e-119,0.014151824228813559,0.014255630651209678,0.9927182160554004,9.722457673757092e-143,True,0.5716601736748518
M_152,-0.5641436753022122,1.5644301954185734e-139,2.363041485143203e-116,0.028161341000000003,0.03185766924112903,0.8839736763806632,2.5969541243948318e-138,True,0.5641436753022122
M_56,-0.5582444668883422,4.613383479127581e-136,5.665241818770086e-114,0.0010703177929782084,0.0011282094906451612,0.9486871027526566,6.381847146126487e-135,True,0.5582444668883422
M_103,-0.5566339550420817,3.9736437287095696e-135,2.5036311814640352e-113,-1.1746206778631961e-05,1.1445316369384841e-06,-10.262893920566471,4.711606135469919e-134,True,0.5566339550420817
M_73,0.5559559686566111,9.80261618529692e-135,4.674038828433509e-113,0.00010687219480617374,3.1334055252104677e-06,34.1073614462958,1.0170214292245554e-133,True,0.5559559686566111
M_100,-0.555537221329489,1.7103998199925038e-134,6.870399393555147e-113,0.009815544536319613,0.009867536129032257,0.9947310461261272,1.5773687228819757e-133,True,0.555537221329489
M_47,-0.5547347035804753,4.959694562785462e-134,1.4362734632288138e-112,0.0009764793709443098,0.0012856853947419355,0.7595010217412558,4.116546487111934e-133,True,0.5547347035804753
M_25,-0.5538224911275258,1.6576089195163583e-133,3.316708917569149e-112,0.013914887744552056,0.022026299247177417,0.6317397029977786,1.2507412756350702e-132,True,0.5538224911275258
M_45,-0.5510727237520964,6.156340918296033e-132,4.099628388489316e-111,0.0006241726422760291,0.0010333174120967742,0.6040473478613684,4.2581358018214227e-131,True,0.5510727237520964
M_55,-0.5505149090432673,1.2764279389668122e-131,6.81731490533003e-111,0.002200394905811138,0.0022738032876612906,0.9677155969258641,8.149501456480416e-131,True,0.5505149090432673
M_42,-0.5428204774583634,2.5924146018763925e-127,7.203115770582753e-108,0.0010867766493946733,0.0012705220086290324,0.8553780587928334,1.5369315139695755e-126,True,0.5428204774583634
M_167,0.5420576530847812,6.834401578179682e-127,1.4288948956414898e-107,0.00012428773014848093,-1.1136380454204976e-05,inf,3.781702206592758e-126,True,0.5420576530847812
M_61,-0.5403913764831966,5.6304921771645727e-126,6.35845984705136e-107,0.014083012260290555,0.014276378965725808,0.9864554796493229,2.920817816904122e-125,True,0.5403913764831966
M_24,-0.5317410396475779,2.651029257316681e-121,1.371728862765256e-103,0.002598232675544794,0.0026257014332258066,0.9895385068030123,1.2943260491604972e-120,True,0.5317410396475779
M_60,0.5309018764868296,7.405293973616737e-121,2.869713446704269e-103,3.45148053340092e-05,7.2617960017670255e-06,4.752929623141528,3.414663332278829e-120,True,0.5309018764868296
M_67,0.5266131675348675,1.3491839631868896e-118,1.2254731025343452e-101,0.00039500135449079904,7.080485177092442e-05,5.578732877921283,5.893803628658518e-118,True,0.5266131675348675
M_102,0.5263847990497793,1.7763692517718063e-118,1.4953911333797716e-101,0.00021181967304047104,3.3861663783389555e-05,6.255441976964425,7.371932394852997e-118,True,0.5263847990497793
M_68,0.5246760207212465,1.3820444856957937e-117,6.613690701901933e-101,0.00034316432063898305,5.481264500876027e-05,6.260677998373145,5.462366300607185e-117,True,0.5246760207212465
M_70,-0.5205485406556312,1.869727018454571e-115,2.3520974609071907e-99,0.00972377583535109,0.009774744427419355,0.9947856854522671,7.053970115078609e-115,True,0.5205485406556312
M_57,-0.5134969016234504,7.009094907413662e-112,9.841961948465264e-97,0.0016869671673123488,0.001736714439919355,0.971355525431506,2.5293690318057997e-111,True,0.5134969016234504
M_121,-0.5120457844329831,3.7216969319258844e-111,3.3740789894571167e-96,0.020637089508474576,0.028428191637096777,0.7259374698158653,1.2870868556243685e-110,True,0.5120457844329831
M_44,-0.5112038908110418,9.767991629125681e-111,6.8848987125174856e-96,0.004913246488619854,0.005034142178951613,0.9759848478580444,3.242973220869726e-110,True,0.5112038908110418
M_93,-0.5056667620595987,5.210829198911649e-108,7.284991084950829e-94,0.008929689824455207,0.008944145672580645,0.9983837642347716,1.6634570134987185e-107,True,0.5056667620595987
M_161,0.503256161796515,7.73651357824116e-107,5.457027073634887e-93,0.0005260920459956417,0.00015271117874070505,3.4450133273407326,2.3782615814593195e-106,True,0.503256161796515
M_148,0.4989822100328019,8.767841868482504e-105,1.8934453917048318e-91,1.865119129622276e-05,4.282723192436863e-06,4.354984073955586,2.5990388395858853e-104,True,0.4989822100328019
M_112,-0.4978342209827552,3.088439536626577e-104,4.8837225651100275e-91,0.016630216966101695,0.017123327937903225,0.9712023869664957,8.839326949655375e-104,True,0.4978342209827552
M_137,0.49711254702221974,6.79897316166562e-104,8.85020057340205e-91,0.005833833761259078,0.0057983088670161284,1.006126768176327,1.881049241394155e-103,True,0.49711254702221974
M_31,-0.4962455614442081,1.7501174926027192e-103,1.8057276995521735e-90,0.0030964158699757875,0.003375695598790323,0.9172675021661861,4.685798447936313e-103,True,0.4962455614442081
M_156,-0.4924532537908254,1.0601200187412349e-101,4.027110009292385e-89,0.0036646128384987893,0.006590500406209678,0.55604470262166,2.749686298610078e-101,True,0.4924532537908254
M_113,0.4877927260991241,1.5316678693875346e-99,1.7698239554564148e-87,0.00019022807953995158,0.0001630717044919355,1.166530270426891,3.852376762398951e-99,True,0.4877927260991241
M_142,-0.4850854053810262,2.657953094692795e-98,1.5674054317483335e-86,0.016815358670702177,0.016994325954032257,0.9894689978399751,6.488532554691236e-98,True,0.4850854053810262
M_165,0.4766252076718464,1.6846773265644407e-94,1.3227354259860943e-83,8.77647612142857e-05,2.862634214914189e-05,3.06587410843605,3.9950919458528164e-94,True,0.4766252076718464
M_129,-0.4718533588830804,2.110180913264903e-92,5.615816363867486e-82,0.01811245393946731,0.01848819474516129,0.9796767174473691,4.865139327805193e-92,True,0.4718533588830804
M_35,-0.4680815618038116,9.101424278132633e-91,1.0584031915224749e-80,0.009957164721549635,0.010674118620967742,0.932832496538894,2.041670851581104e-90,True,0.4680815618038116
M_155,0.46313255507292395,1.1837964893059662e-88,4.813508191189056e-79,0.00020519722042324455,8.111961737359573e-05,2.529563465249231,2.585660752957768e-88,True,0.46313255507292395
M_123,-0.4600255558620109,2.4148204335402573e-87,5.179470801400165e-78,0.027605973934624696,0.027695681428225812,0.9967609573415409,5.1392332303549065e-87,True,0.4600255558620109
M_168,-0.44345801792393874,1.3859732318759562e-80,1.258092128669378e-72,0.021481958709443097,0.02335934881935484,0.9196300323082554,2.8758944561426092e-80,True,0.44345801792393874
M_4,-0.44119163111841486,1.090455257382328e-79,6.624527614455213e-72,0.008037411623486682,0.00806616175846774,0.9964357105842966,2.207506984456908e-79,True,0.44119163111841486
M_27,-0.4267250882392605,3.96460853729489e-74,2.1858399210841696e-67,0.00392148645811138,0.004072654476612904,0.962882189154616,7.834821633225615e-74,True,0.4267250882392605
M_16,-0.41984482005320334,1.4101201679130894e-71,2.729457581022786e-65,0.0015247652142857141,0.0015778753916935485,0.9663407023853571,2.721859858995033e-71,True,0.41984482005320334
M_22,-0.41410950209086245,1.7016042415149001e-69,1.43811301836291e-63,0.0022588339392251816,0.002371371476129032,0.9525432695650223,3.209844364675834e-69,True,0.41410950209086245
M_106,-0.4132778389087716,3.3834238868218964e-69,2.5439120530646045e-63,0.0044816858271186436,0.004542179465645162,0.9866818035297674,6.240537391249276e-69,True,0.4132778389087716
M_125,-0.41140363136766295,1.5810813345300127e-68,9.160471618617611e-63,0.014249063130750606,0.017241458380241936,0.826441871476458,2.8528206688258925e-68,True,0.41140363136766295
M_107,0.3963267218744699,2.7062589265164144e-63,2.2212973728256508e-58,6.463335824697336e-05,4.129179643753673e-05,1.5652832723019467,4.779138104273668e-63,True,0.3963267218744699
M_26,0.3952303557190956,6.34568712325684e-63,4.5615879097610335e-58,0.009995588953995159,0.009982675090322581,1.0012936275653304,1.097275065063162e-62,True,0.3952303557190956
M_145,0.39166917012350927,9.88652384037522e-62,4.658785523809527e-57,1.2668322092397094e-05,4.06663280460779e-06,3.115187109601576,1.6746560790839657e-61,True,0.39166917012350927
M_149,0.38890758154805755,8.124261865779093e-61,2.783573657834259e-56,0.0071100451578692495,0.005981425186532258,1.1886874676420238,1.3486274697193295e-60,True,0.38890758154805755
M_164,-0.38856056333290945,1.0570885790637596e-60,3.481529128534939e-56,0.0037457359738498792,0.007015544179040323,0.5339195190361227,1.7203598443586676e-60,True,0.38856056333290945
M_160,-0.3803083730257805,5.041907413756151e-58,6.715539482217792e-54,-3.893167047386222e-06,3.9170910873294325e-05,-0.09938923963191469,8.047659910418472e-58,True,0.3803083730257805
M_98,-0.3749083179847041,2.594157710301859e-56,1.9778805140949666e-52,0.018745295547215494,0.019249984690322578,0.9737823613251597,4.0625488670764965e-56,True,0.3749083179847041
M_1,-0.36820225157066766,3.12268528379585e-54,1.2348874214135052e-50,0.0013485439503486683,0.003189775936781597,0.42277074536756176,4.7996829362047326e-54,True,0.36820225157066766
M_66,-0.3575815872384972,4.8963999994880337e-51,7.402745122707994e-48,0.013357225180387408,0.013381243020564518,0.9982051114279743,7.389112726500123e-51,True,0.3575815872384972
M_94,0.3505574029586471,5.461517957750873e-49,4.594781993931581e-46,0.011802851363196127,0.011591271021935483,1.0182534202556601,7.969710733684214e-49,True,0.3505574029586471
M_158,-0.3505541855904758,5.473174841204822e-49,4.6033929436693444e-46,0.0026810423225181595,0.0044094149839838705,0.608026763699129,7.969710733684214e-49,True,0.3505541855904758
M_2,-0.34023593282204107,4.494716474357427e-46,1.7093491693310434e-43,0.004418530708474576,0.005076619779758065,0.8703686508279628,6.432094265028731e-46,True,0.34023593282204107
M_105,0.33573065881494196,7.781385450223972e-45,2.1430321191892472e-42,0.008348442859564166,0.008316509854435484,1.0038397122936915,1.09466947859083e-44,True,0.33573065881494196
M_120,0.3274550587607656,1.2956783107188176e-42,2.0442377387879277e-40,0.02821025864891041,0.028210130413709678,1.000004545714566,1.7923549964943643e-42,True,0.3274550587607656
M_28,-0.31257270323298547,8.653627294014785e-39,5.589906591808774e-37,0.019422308501210656,0.019969175402419354,0.9726144475078103,1.17746076295611e-38,True,0.31257270323298547
M_136,-0.3033452850897975,1.5890095713628973e-36,6.295263413326191e-35,0.00012025543756658597,0.0001999335214483871,0.6014771144699211,2.1272224906954917e-36,True,0.3033452850897975
M_80,-0.2805637445398428,2.810600209582879e-31,4.02108955864844e-30,0.02743674716464891,0.027425326228225806,1.000416437577736,3.7028542443710944e-31,True,0.2805637445398428
M_37,0.277310251280411,1.4434488119209255e-30,1.821520620856572e-29,0.00015650051135669067,0.00015190553316524468,1.030248919151928,1.8719726779599503e-30,True,0.277310251280411
M_134,0.26366824406489264,1.085913813768867e-27,8.499589979754306e-27,0.00033678834208184015,0.00025575201824944063,1.3168550707324742,1.386628408351015e-27,True,0.26366824406489264
M_122,-0.2585245011164206,1.1957216581004498e-26,7.968077206746958e-26,5.3626950552080486e-05,0.00016535891271992075,0.3243063810108136,1.5037105700354143e-26,True,0.2585245011164206
M_11,0.2570095710450913,2.3991746774076029e-26,1.527654455895578e-25,3.84850893186799e-06,-1.1110086972047983e-06,inf,2.972111913803448e-26,True,0.2570095710450913
M_9,0.2429570600814613,1.2328066979854072e-23,5.349572618599362e-23,0.006062719745520581,0.0057978758171774196,1.0456794758450165,1.5047493519527766e-23,True,0.2429570600814613
M_140,0.24087057223887332,3.012868298694848e-23,1.2420075997290504e-22,0.02417007990556901,0.02402726983548387,1.0059436661369756,3.624174910024237e-23,True,0.24087057223887332
M_119,-0.23397869468523116,5.428700956894348e-22,1.907387825136935e-21,-3.170367642784019e-07,1.3946378164719308e-05,-0.022732551816243018,6.436888277460441e-22,True,0.23397869468523116
M_69,-0.19899728512034803,3.178928932494052e-16,6.057980745242046e-16,0.003960462446973366,0.003966786278225806,0.9984058048987533,3.716212695732483e-16,True,0.19899728512034803
M_132,-0.19608363343226734,8.668650171113615e-16,1.5903284891272558e-15,1.423170290014528e-08,6.463723458967758e-06,0.0022017809070096032,9.993027280589306e-16,True,0.19608363343226734
M_30,0.18779318352760974,1.3828213516101917e-14,2.297850284014463e-14,0.01617547240677966,0.016170990618548386,1.0002771498875358,1.5722489340225467e-14,True,0.18779318352760974
M_58,-0.18438152710802552,4.168820711102236e-14,6.675923917918414e-14,0.014802293599273608,0.015098440302419355,0.9803856095587374,4.675839446236291e-14,True,0.18438152710802552
M_111,0.17832117605163403,2.8111599857356003e-13,4.2369072901359787e-13,0.003788884395472155,0.003391683258182258,1.1171103275436083,3.111017050880731e-13,True,0.17832117605163403
M_110,0.16633871853256094,1.0091244499081172e-11,1.3728420552597022e-11,0.0023467157,0.0023430445612096775,1.0015668241445768,1.1020701229259702e-11,True,0.16633871853256094
M_29,-0.14816879661373142,1.4217660790233723e-09,1.7202805058943728e-09,0.04039402490556901,0.04068466505403226,0.9928562727976927,1.5325530462199988e-09,True,0.14816879661373142
M_159,0.14364586512965719,4.457514993166912e-09,5.2705020077515e-09,0.0017221213833898304,0.0015390354797064517,1.1189614574176676,4.7432531337545346e-09,True,0.14364586512965719
M_32,-0.06577210394310547,0.007473435610974527,0.0075123674130327086,0.0014904130595883777,0.0018287221509963654,0.8150024643034687,0.007851837414061844,True,0.06577210394310547
M_139,-0.05620499266237149,0.022300514731849925,0.02234912957529558,0.012068513309927361,0.01208761714233871,0.9984195534830074,0.023136784034294297,True,0.05620499266237149
M_34,0.024849028818692005,0.3126480677681956,0.31253152812709795,0.0134592624125908,0.014657515500403227,0.9182499184272079,0.32036777314518805,False,0.024849028818692005
M_33,-0.01687057459543463,0.49306719527625986,0.49293910007518427,3.540375634261501e-05,4.843520671271083e-05,0.7309508670543986,0.49908020985279966,False,0.01687057459543463
M_153,0.007205354557629594,0.7697277462473847,0.7696744906971507,0.00025435760760532687,0.00031590620733673276,0.8051681217336777,0.7697277462473847,False,0.007205354557629594
