epoch: 01, loss1: 24.89676285, loss2: 2580.59936523, loss3: 4393.85693359, loss4: 39.54134750, loss: 7038.89453125. 
epoch: 02, loss1: 24.74552155, loss2: 2354.18188477, loss3: 4179.32519531, loss4: 39.75382996, loss: 6598.00683594. 
epoch: 03, loss1: 25.12823296, loss2: 2143.18603516, loss3: 3965.45800781, loss4: 39.95642471, loss: 6173.72900391. 
epoch: 04, loss1: 26.04480743, loss2: 1947.12902832, loss3: 3751.64331055, loss4: 40.14541626, loss: 5764.96289062. 
epoch: 05, loss1: 27.50007629, loss2: 1765.46948242, loss3: 3537.21386719, loss4: 40.31606293, loss: 5370.49951172. 
epoch: 06, loss1: 29.50418854, loss2: 1597.62548828, loss3: 3321.45971680, loss4: 40.46573639, loss: 4989.05517578. 
epoch: 07, loss1: 32.07296753, loss2: 1442.97668457, loss3: 3103.62841797, loss4: 40.59379578, loss: 4619.27197266. 
epoch: 08, loss1: 35.22839355, loss2: 1300.87719727, loss3: 2882.92651367, loss4: 40.70000839, loss: 4259.73242188. 
epoch: 09, loss1: 38.99903488, loss2: 1170.66442871, loss3: 2658.52612305, loss4: 40.78599548, loss: 3908.97534180. 
epoch: 10, loss1: 43.42052460, loss2: 1051.66479492, loss3: 2429.56640625, loss4: 40.85297394, loss: 3565.50488281. 
epoch: 11, loss1: 48.53606415, loss2: 943.20306396, loss3: 2195.15942383, loss4: 40.90236664, loss: 3227.80078125. 
epoch: 12, loss1: 54.39681244, loss2: 844.60491943, loss3: 1954.38818359, loss4: 40.93645477, loss: 2894.32641602. 
epoch: 13, loss1: 61.06243896, loss2: 755.20361328, loss3: 1706.31225586, loss4: 40.95719528, loss: 2563.53564453. 
epoch: 14, loss1: 68.60159302, loss2: 674.34191895, loss3: 1449.96813965, loss4: 40.96633911, loss: 2233.87792969. 
epoch: 15, loss1: 77.09249878, loss2: 601.37829590, loss3: 1185.27124023, loss4: 40.96517563, loss: 1904.70727539. 
epoch: 16, loss1: 86.61823273, loss2: 535.70526123, loss3: 926.11730957, loss4: 40.95491028, loss: 1589.39575195. 
epoch: 17, loss1: 97.20028687, loss2: 476.85498047, loss3: 716.83551025, loss4: 40.93632507, loss: 1331.82714844. 
epoch: 18, loss1: 108.56378937, loss2: 424.54150391, loss3: 610.39373779, loss4: 40.90967178, loss: 1184.40869141. 
epoch: 19, loss1: 120.10754395, loss2: 378.35833740, loss3: 579.12908936, loss4: 40.87602615, loss: 1118.47094727. 
epoch: 20, loss1: 131.16467285, loss2: 337.72705078, loss3: 603.05474854, loss4: 40.83721161, loss: 1112.78369141. 
epoch: 21, loss1: 140.85458374, loss2: 302.07916260, loss3: 667.81207275, loss4: 40.79629517, loss: 1151.54211426. 
epoch: 22, loss1: 148.21517944, loss2: 270.87307739, loss3: 754.06738281, loss4: 40.75807190, loss: 1213.91369629. 
epoch: 23, loss1: 152.51643372, loss2: 243.59619141, loss3: 828.42108154, loss4: 40.72641373, loss: 1265.26013184. 
epoch: 24, loss1: 153.61289978, loss2: 219.74987793, loss3: 867.70416260, loss4: 40.70268631, loss: 1281.76953125. 
epoch: 25, loss1: 151.86491394, loss2: 198.86328125, loss3: 866.79553223, loss4: 40.68651581, loss: 1258.21020508. 
epoch: 26, loss1: 147.84376526, loss2: 180.51284790, loss3: 832.58544922, loss4: 40.67677307, loss: 1201.61889648. 
epoch: 27, loss1: 142.16513062, loss2: 164.32742310, loss3: 777.54693604, loss4: 40.67181396, loss: 1124.71142578. 
epoch: 28, loss1: 135.42582703, loss2: 149.98338318, loss3: 716.16156006, loss4: 40.66958618, loss: 1042.24035645. 
epoch: 29, loss1: 128.15393066, loss2: 137.20318604, loss3: 660.19519043, loss4: 40.66809845, loss: 966.22039795. 
epoch: 30, loss1: 120.79298401, loss2: 125.75256348, loss3: 617.64385986, loss4: 40.66552353, loss: 904.85491943. 
epoch: 31, loss1: 113.66368103, loss2: 115.44100189, loss3: 589.52893066, loss4: 40.66025925, loss: 859.29388428. 
epoch: 32, loss1: 106.95964050, loss2: 106.11634064, loss3: 574.31848145, loss4: 40.65112305, loss: 828.04559326. 
epoch: 33, loss1: 100.83399963, loss2: 97.65026093, loss3: 571.26556396, loss4: 40.63715363, loss: 810.38696289. 
epoch: 34, loss1: 95.37222290, loss2: 89.93712616, loss3: 576.45825195, loss4: 40.61752701, loss: 802.38513184. 
epoch: 35, loss1: 90.59272003, loss2: 82.89289093, loss3: 586.99584961, loss4: 40.59158707, loss: 801.07305908. 
epoch: 36, loss1: 86.51442719, loss2: 76.44370270, loss3: 600.13299561, loss4: 40.55842590, loss: 803.64953613. 
epoch: 37, loss1: 83.12171936, loss2: 70.52949524, loss3: 613.25665283, loss4: 40.51729965, loss: 807.42510986. 
epoch: 38, loss1: 80.40352631, loss2: 65.09824371, loss3: 624.12121582, loss4: 40.46832657, loss: 810.09130859. 
epoch: 39, loss1: 78.33816528, loss2: 60.10572052, loss3: 630.44500732, loss4: 40.41144180, loss: 809.30035400. 
epoch: 40, loss1: 76.88241577, loss2: 55.51565933, loss3: 630.88256836, loss4: 40.34674835, loss: 803.62738037. 
epoch: 41, loss1: 75.98328400, loss2: 51.29719162, loss3: 625.33129883, loss4: 40.27442169, loss: 792.88616943. 
epoch: 42, loss1: 75.58090973, loss2: 47.42358780, loss3: 614.49078369, loss4: 40.19501114, loss: 777.69030762. 
epoch: 43, loss1: 75.61603546, loss2: 43.87063980, loss3: 599.67279053, loss4: 40.10888672, loss: 759.26837158. 
epoch: 44, loss1: 76.02260590, loss2: 40.61649704, loss3: 582.73016357, loss4: 40.01652145, loss: 739.38580322. 
epoch: 45, loss1: 76.73310852, loss2: 37.64024734, loss3: 565.07385254, loss4: 39.91847992, loss: 719.36566162. 
epoch: 46, loss1: 77.69273376, loss2: 34.92131805, loss3: 547.54602051, loss4: 39.81528854, loss: 699.97540283. 
epoch: 47, loss1: 78.86708832, loss2: 32.43946075, loss3: 530.78161621, loss4: 39.70722198, loss: 681.79534912. 
epoch: 48, loss1: 80.22288513, loss2: 30.17543411, loss3: 515.53863525, loss4: 39.59474564, loss: 665.53167725. 
epoch: 49, loss1: 81.74188995, loss2: 28.11118126, loss3: 501.39901733, loss4: 39.47827530, loss: 650.73034668. 
epoch: 50, loss1: 83.44047546, loss2: 26.22888374, loss3: 487.99765015, loss4: 39.35811615, loss: 637.02508545. 
epoch: 51, loss1: 85.34130859, loss2: 24.51294708, loss3: 475.23977661, loss4: 39.23462677, loss: 624.32867432. 
epoch: 52, loss1: 87.50592041, loss2: 22.94818115, loss3: 463.35791016, loss4: 39.10833359, loss: 612.92034912. 
epoch: 53, loss1: 90.00863647, loss2: 21.52156448, loss3: 451.68280029, loss4: 38.98015594, loss: 602.19317627. 
epoch: 54, loss1: 92.95300293, loss2: 20.22067261, loss3: 441.22906494, loss4: 38.85123444, loss: 593.25396729. 
