epoch: 01, loss1: 45.39185333, loss2: 3079.19531250, loss3: 4771.83740234, loss4: 42.42217255, loss: 7938.84716797. 
epoch: 02, loss1: 44.78189087, loss2: 2807.09667969, loss3: 4484.43359375, loss4: 42.65421295, loss: 7378.96679688. 
epoch: 03, loss1: 45.11680984, loss2: 2542.65795898, loss3: 4188.21289062, loss4: 42.98468018, loss: 6818.97216797. 
epoch: 04, loss1: 46.85131836, loss2: 2279.73608398, loss3: 3871.18627930, loss4: 43.52007294, loss: 6241.29345703. 
epoch: 05, loss1: 54.30027390, loss2: 2019.95019531, loss3: 3504.69213867, loss4: 44.33271027, loss: 5623.27490234. 
epoch: 06, loss1: 91.82669830, loss2: 1770.59118652, loss3: 3039.62573242, loss4: 45.06297684, loss: 4947.10644531. 
epoch: 07, loss1: 255.62312317, loss2: 1540.35473633, loss3: 2412.23046875, loss4: 45.20185089, loss: 4253.41015625. 
epoch: 08, loss1: 802.50170898, loss2: 1335.78588867, loss3: 1674.05139160, loss4: 44.67148590, loss: 3857.01025391. 
epoch: 09, loss1: 708.16375732, loss2: 1161.78686523, loss3: 1448.90625000, loss4: 44.65000916, loss: 3363.50683594. 
epoch: 10, loss1: 491.75982666, loss2: 1015.39849854, loss3: 1281.62915039, loss4: 44.83378601, loss: 2833.62133789. 
epoch: 11, loss1: 365.05706787, loss2: 891.39752197, loss3: 1106.70947266, loss4: 44.90773392, loss: 2408.07177734. 
epoch: 12, loss1: 316.92355347, loss2: 785.99121094, loss3: 968.99224854, loss4: 44.81948090, loss: 2116.72656250. 
epoch: 13, loss1: 266.21075439, loss2: 696.96185303, loss3: 922.01928711, loss4: 44.79867935, loss: 1929.99060059. 
epoch: 14, loss1: 219.70953369, loss2: 622.34735107, loss3: 889.63732910, loss4: 45.08971786, loss: 1776.78393555. 
epoch: 15, loss1: 184.35702515, loss2: 559.27813721, loss3: 864.72326660, loss4: 45.48848343, loss: 1653.84692383. 
epoch: 16, loss1: 159.82475281, loss2: 505.15710449, loss3: 874.02130127, loss4: 45.72744751, loss: 1584.73059082. 
epoch: 17, loss1: 144.63650513, loss2: 458.06582642, loss3: 891.87017822, loss4: 45.78900146, loss: 1540.36157227. 
epoch: 18, loss1: 137.40591431, loss2: 416.75732422, loss3: 906.12890625, loss4: 45.72862625, loss: 1506.02075195. 
epoch: 19, loss1: 134.69932556, loss2: 380.74758911, loss3: 934.94323730, loss4: 45.62155914, loss: 1496.01171875. 
epoch: 20, loss1: 126.80810547, loss2: 349.63183594, loss3: 919.41198730, loss4: 45.71762085, loss: 1441.56958008. 
epoch: 21, loss1: 120.66658783, loss2: 321.67092896, loss3: 921.26745605, loss4: 45.74364853, loss: 1409.34863281. 
epoch: 22, loss1: 118.00482941, loss2: 296.09799194, loss3: 893.01855469, loss4: 45.67173767, loss: 1352.79309082. 
epoch: 23, loss1: 118.37745667, loss2: 272.90759277, loss3: 861.95556641, loss4: 45.54595947, loss: 1298.78662109. 
epoch: 24, loss1: 112.08894348, loss2: 252.39625549, loss3: 833.74395752, loss4: 45.51863098, loss: 1243.74780273. 
epoch: 25, loss1: 98.91581726, loss2: 234.27784729, loss3: 798.61413574, loss4: 45.61219788, loss: 1177.42004395. 
epoch: 26, loss1: 89.57834625, loss2: 217.77813721, loss3: 773.41113281, loss4: 45.67005539, loss: 1126.43762207. 
epoch: 27, loss1: 83.53009033, loss2: 202.59262085, loss3: 741.60595703, loss4: 45.66592407, loss: 1073.39453125. 
epoch: 28, loss1: 78.91584778, loss2: 188.75508118, loss3: 722.12866211, loss4: 45.63688278, loss: 1035.43640137. 
epoch: 29, loss1: 74.72066498, loss2: 176.20793152, loss3: 702.13085938, loss4: 45.60323715, loss: 998.66265869. 
epoch: 30, loss1: 71.47303009, loss2: 164.78242493, loss3: 683.55572510, loss4: 45.56458282, loss: 965.37573242. 
epoch: 31, loss1: 71.13442230, loss2: 154.28887939, loss3: 671.60913086, loss4: 45.50177383, loss: 942.53424072. 
epoch: 32, loss1: 74.72932434, loss2: 144.59696960, loss3: 203.58294678, loss4: 45.42250061, loss: 468.33172607. 
epoch: 33, loss1: 69.19039154, loss2: 135.83821106, loss3: 666.76025391, loss4: 45.46901703, loss: 917.25781250. 
epoch: 34, loss1: 66.76808929, loss2: 127.64627075, loss3: 659.20495605, loss4: 45.47681427, loss: 899.09613037. 
epoch: 35, loss1: 66.59391785, loss2: 119.99478149, loss3: 648.96020508, loss4: 45.45785141, loss: 881.00671387. 
epoch: 36, loss1: 64.55804443, loss2: 112.90272522, loss3: 653.30462646, loss4: 45.46834183, loss: 876.23370361. 
epoch: 37, loss1: 59.33986664, loss2: 106.36589050, loss3: 646.19836426, loss4: 45.53379822, loss: 857.43792725. 
epoch: 38, loss1: 55.12090683, loss2: 100.32237244, loss3: 642.94567871, loss4: 45.60202789, loss: 843.99102783. 
epoch: 39, loss1: 53.82345581, loss2: 94.70430756, loss3: 638.07220459, loss4: 45.61421204, loss: 832.21417236. 
epoch: 40, loss1: 55.71622086, loss2: 89.47560120, loss3: 621.12469482, loss4: 45.56702805, loss: 811.88354492. 
epoch: 41, loss1: 59.93044281, loss2: 84.62840271, loss3: 607.83398438, loss4: 45.50402832, loss: 797.89685059. 
epoch: 42, loss1: 61.18417740, loss2: 80.15957642, loss3: 596.00195312, loss4: 45.49008942, loss: 782.83581543. 
epoch: 43, loss1: 57.37160492, loss2: 76.04560852, loss3: 583.73425293, loss4: 45.53951645, loss: 762.69097900. 
epoch: 44, loss1: 53.48027802, loss2: 72.23726654, loss3: 578.13507080, loss4: 45.59651566, loss: 749.44909668. 
epoch: 45, loss1: 52.01938248, loss2: 68.69931030, loss3: 564.42773438, loss4: 45.61866760, loss: 730.76507568. 
epoch: 46, loss1: 51.62752533, loss2: 65.43043518, loss3: 554.95684814, loss4: 45.62233734, loss: 717.63714600. 
epoch: 47, loss1: 49.38501740, loss2: 62.44139862, loss3: 545.83630371, loss4: 45.66232300, loss: 703.32507324. 
epoch: 48, loss1: 46.45913696, loss2: 59.71205139, loss3: 537.86291504, loss4: 45.72670746, loss: 689.76080322. 
epoch: 49, loss1: 45.41354370, loss2: 57.19129944, loss3: 530.20629883, loss4: 45.74465179, loss: 678.55578613. 
epoch: 50, loss1: 45.91661072, loss2: 54.86167526, loss3: 519.54162598, loss4: 45.71491241, loss: 666.03485107. 
epoch: 51, loss1: 45.88026810, loss2: 52.72934723, loss3: 512.76159668, loss4: 45.69936752, loss: 657.07055664. 
epoch: 52, loss1: 44.14237976, loss2: 50.78334045, loss3: 504.44259644, loss4: 45.72516251, loss: 645.09344482. 
epoch: 53, loss1: 42.89212799, loss2: 48.98173904, loss3: 499.05688477, loss4: 45.73630142, loss: 636.66711426. 
epoch: 54, loss1: 42.68120956, loss2: 47.29937363, loss3: 490.22665405, loss4: 45.71518707, loss: 625.92242432. 
epoch: 55, loss1: 41.64841461, loss2: 45.74841690, loss3: 484.68414307, loss4: 45.71485519, loss: 617.79583740. 
epoch: 56, loss1: 39.40586090, loss2: 44.32287598, loss3: 477.76580811, loss4: 45.75187302, loss: 607.24645996. 
epoch: 57, loss1: 38.04337311, loss2: 42.98126602, loss3: 471.52386475, loss4: 45.76351929, loss: 598.31201172. 
epoch: 58, loss1: 37.48561096, loss2: 41.71428299, loss3: 464.57736206, loss4: 45.74395752, loss: 589.52117920. 
epoch: 59, loss1: 36.46656799, loss2: 40.53726578, loss3: 457.30697632, loss4: 45.74111557, loss: 580.05187988. 
epoch: 60, loss1: 35.26728058, loss2: 39.43643570, loss3: 451.21310425, loss4: 45.74517822, loss: 571.66198730. 
epoch: 61, loss1: 34.92361069, loss2: 38.38189697, loss3: 443.12545776, loss4: 45.71696854, loss: 562.14794922. 
epoch: 62, loss1: 34.93090820, loss2: 37.37667847, loss3: 436.59872437, loss4: 45.68053436, loss: 554.58685303. 
epoch: 63, loss1: 34.01149750, loss2: 36.42807388, loss3: 429.21704102, loss4: 45.67634201, loss: 545.33294678. 
epoch: 64, loss1: 32.98056412, loss2: 35.52057648, loss3: 423.92840576, loss4: 45.67645264, loss: 538.10601807. 
epoch: 65, loss1: 32.65515900, loss2: 34.63775253, loss3: 416.84732056, loss4: 45.65377426, loss: 529.79400635. 
epoch: 66, loss1: 31.59002686, loss2: 33.80325317, loss3: 410.65493774, loss4: 45.65675354, loss: 521.70495605. 
epoch: 67, loss1: 30.30830765, loss2: 33.01414108, loss3: 405.64392090, loss4: 45.67036819, loss: 514.63671875. 
epoch: 68, loss1: 29.88949203, loss2: 32.24658585, loss3: 398.89389038, loss4: 45.65456390, loss: 506.68453979. 
epoch: 69, loss1: 29.36227608, loss2: 31.51583672, loss3: 393.06860352, loss4: 45.64414215, loss: 499.59085083. 
epoch: 70, loss1: 28.64827919, loss2: 30.81760406, loss3: 387.62091064, loss4: 45.64128113, loss: 492.72808838. 
epoch: 71, loss1: 28.50913048, loss2: 30.10598373, loss3: 381.21023560, loss4: 45.61956024, loss: 485.44491577. 
epoch: 72, loss1: 28.28874779, loss2: 29.39078712, loss3: 375.67590332, loss4: 45.60194397, loss: 478.95739746. 
epoch: 73, loss1: 27.43993568, loss2: 28.68543625, loss3: 370.74487305, loss4: 45.60501480, loss: 472.47525024. 
epoch: 74, loss1: 26.94678307, loss2: 27.95690155, loss3: 364.71130371, loss4: 45.59638596, loss: 465.21136475. 
epoch: 75, loss1: 26.10902023, loss2: 27.24210739, loss3: 359.47567749, loss4: 45.60086441, loss: 458.42767334. 
epoch: 76, loss1: 25.13513184, loss2: 26.54697227, loss3: 355.16247559, loss4: 45.61322021, loss: 452.45779419. 
epoch: 77, loss1: 24.81567764, loss2: 25.85416412, loss3: 349.55072021, loss4: 45.60338593, loss: 445.82394409. 
epoch: 78, loss1: 24.04156494, loss2: 25.19840050, loss3: 343.88873291, loss4: 45.61099243, loss: 438.73968506. 
