collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
GO,Resolution Of Meiotic Recombination Intermediates (GO:0000712),GO_Resolution Of Meiotic Recombination Intermediates (GO:0000712),14,3,0.21428571428571427,0.10936111,0.027653636,0.4592539025296512,0.0,0.0,True,0.4592539025296512
GO,Apoptotic Nuclear Changes (GO:0030262),GO_Apoptotic Nuclear Changes (GO:0030262),16,4,0.25,0.08863532,0.017033512,0.4299001861045194,0.0,0.0,True,0.4299001861045194
GO,Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),GO_Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),17,6,0.35294117647058826,0.084611975,0.01287048,0.33372163849633096,0.0,0.0,True,0.33372163849633096
KEGG,Chagas disease,KEGG_Chagas disease,102,38,0.37254901960784315,0.20053318,0.022523498,-0.22874999249174774,5.95684177927671e-178,2.138506198760339e-175,True,0.22874999249174774
KEGG,Leishmaniasis,KEGG_Leishmaniasis,77,23,0.2987012987012987,0.22456695,0.022387594,-0.22206986388475308,1.4413733198331207e-167,4.1396241745607227e-165,True,0.22206986388475308
Reactome,Platelet Degranulation R-HSA-114608,Reactome_Platelet Degranulation R-HSA-114608,125,31,0.248,0.18548061,0.012891166,-0.22192817712262147,2.3732475980709263e-167,5.679972584716416e-165,True,0.22192817712262147
KEGG,Phagosome,KEGG_Phagosome,152,33,0.21710526315789475,0.23143809,0.028599748,-0.21108652010865828,3.144617025507533e-151,6.450957212326881e-149,True,0.21108652010865828
GO,Neuron Maturation (GO:0042551),GO_Neuron Maturation (GO:0042551),17,4,0.23529411764705882,0.5164033,0.16008577,-0.210309322073631,4.1632155110653134e-150,7.472971842362238e-148,True,0.210309322073631
GO,Positive Regulation Of Endocytosis (GO:0045807),GO_Positive Regulation Of Endocytosis (GO:0045807),79,32,0.4050632911392405,0.18412971,0.017662117,-0.20973699963213888,2.7712522373639674e-149,4.421686903171841e-147,True,0.20973699963213888
GO,Visual System Development (GO:0150063),GO_Visual System Development (GO:0150063),41,15,0.36585365853658536,0.18610013,0.013463759,-0.20836467721794819,2.551064005229111e-147,3.663327911509004e-145,True,0.20836467721794819
GO,Neuron Remodeling (GO:0016322),GO_Neuron Remodeling (GO:0016322),9,3,0.3333333333333333,0.6777461,0.27618495,-0.20640909337576013,1.518106193143548e-144,1.981818630321941e-142,True,0.20640909337576013
Reactome,Classical Antibody-Mediated Complement Activation R-HSA-173623,Reactome_Classical Antibody-Mediated Complement Activation R-HSA-173623,6,5,0.8333333333333334,0.83956593,0.4046844,-0.20610441344537472,4.0834102841156017e-144,4.886480973325003e-142,True,0.20610441344537472
KEGG,Pertussis,KEGG_Pertussis,76,26,0.34210526315789475,0.35582712,0.055308644,-0.2060365692988714,5.0888148963495195e-144,5.621183223967623e-142,True,0.2060365692988714
Reactome,Creation Of C4 And C2 Activators R-HSA-166786,Reactome_Creation Of C4 And C2 Activators R-HSA-166786,14,7,0.5,0.6037337,0.2080487,-0.20583465076561341,9.793127251584143e-144,1.0044950523767735e-141,True,0.20583465076561341
GO,Synapse Pruning (GO:0098883),GO_Synapse Pruning (GO:0098883),8,8,1.0,0.40493935,0.092550896,-0.20188774867137205,3.073030216389357e-138,2.9419142604900776e-136,True,0.20188774867137205
GO,Endocytosis (GO:0006897),GO_Endocytosis (GO:0006897),189,44,0.2328042328042328,0.16651681,0.017287236,-0.2008663040629289,7.78611281014267e-137,6.988036247103047e-135,True,0.2008663040629289
GO,Positive Regulation Of Phagocytosis (GO:0050766),GO_Positive Regulation Of Phagocytosis (GO:0050766),60,26,0.43333333333333335,0.1887743,0.019767554,-0.19979265843651414,2.2830724559594193e-135,1.9285247333868977e-133,True,0.19979265843651414
Reactome,RAC1 GTPase Cycle R-HSA-9013149,Reactome_RAC1 GTPase Cycle R-HSA-9013149,178,46,0.25842696629213485,0.16103435,0.017223595,-0.1992122893239985,1.406346053542542e-134,1.1219516293817169e-132,True,0.1992122893239985
GO,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),GO_Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),43,15,0.3488372093023256,0.20501329,0.036884878,-0.19909195140750344,2.0487903381393888e-134,1.5484541713516645e-132,True,0.19909195140750344
GO,Regulation Of Tumor Necrosis Factor Production (GO:0032680),GO_Regulation Of Tumor Necrosis Factor Production (GO:0032680),127,48,0.3779527559055118,0.17033343,0.013246279,-0.19871247460153935,6.70018007841316e-134,4.810729296300649e-132,True,0.19871247460153935
