test_patient,auc_neural_net,auc_logistic,n_pathways,n_train,n_test
1,0.819843424437567,0.8235512315462531,20,14326,4898
2,0.8326826069410815,0.854228880817864,20,16706,2518
3,0.7226066538837514,0.71308334407448,20,14899,4325
4,0.8902919149167706,0.8647556752597153,20,17567,1657
5,0.7400011785163829,0.8395833576300036,20,15055,4169
6,0.8886751314608181,0.8647556752597153,20,17567,1657
