flux_feature,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
M_157,0.2844988560526085,2.5174199381820416e-91,1.10695745739968e-87,0.0062949512149958,0.0062894747100616,1.0008707412282822,1.988761751163813e-89,True,0.2844988560526085
M_135,0.2620207628689033,2.9478135485955417e-77,1.1628296251579736e-74,0.0075695846691454,0.0071437671572484,1.0596068576318198,1.164386351695239e-75,True,0.2620207628689033
M_2,0.2593907489296431,1.0686433061837614e-75,3.3071580917739764e-73,0.0001550083161873,0.0001276358808459,1.2144572134412372,2.814094039617238e-74,True,0.2593907489296431
M_92,-0.2543139410752458,9.734817381644757e-73,1.9266804886554184e-70,0.0034429594487674,0.0034950322555646,0.9851009080919604,1.9226264328748395e-71,True,0.2543139410752458
M_123,0.2427440313137544,3.0667700925551043e-66,2.4212068101898026e-64,0.0131072877999178,0.0130800508634496,1.0020823264949412,4.845496746237064e-65,True,0.2427440313137544
M_8,0.2411645882810024,2.225803432245614e-65,1.5659360758533028e-63,0.0034737156471651,0.0034563193522381,1.0050331850602006,2.930641185790058e-64,True,0.2411645882810024
M_57,0.2364646306108347,7.446454330915435e-63,3.768908632690743e-61,1.7057170118182954e-05,-3.874413511775749e-06,inf,8.403855602033133e-62,True,0.2364646306108347
M_47,-0.2360820559874237,1.1885224582118596e-62,5.861595639648407e-61,0.0013257862308935,0.0013584297851979,0.9759696418172992,1.1736659274842114e-61,True,0.2360820559874237
M_75,0.231703609683815,2.3603989581539907e-60,8.732812581983534e-59,-5.150056689538912e-06,-1.966916121857136e-05,inf,2.071905752157392e-59,True,0.231703609683815
M_132,0.2207168569062099,8.524256950985569e-55,1.6458920710704436e-53,0.010130037477198,0.0101234307182751,1.000652620549963,6.7341629912786e-54,True,0.2207168569062099
M_19,0.2204334159296321,1.1752157674718346e-54,2.2342469205705113e-53,1.8085087000559284e-05,-5.576176200292385e-05,inf,8.44018596638863e-54,True,0.2204334159296321
M_6,0.2150813116624499,4.6429683635819176e-52,6.662941653723003e-51,0.0098024897261298,0.0089880511379876,1.090613479567328,3.056620839358096e-51,True,0.2150813116624499
M_151,-0.2128285738746528,5.482505630114595e-51,7.03368709114452e-50,0.0035327739883895,0.0038800310323165,0.9105014776854295,3.104439865937803e-50,True,0.2128285738746528
M_150,-0.2128253933057121,5.501539002927752e-51,7.057007255169854e-50,0.0050144828227608,0.0050302563637782,0.9968642669723696,3.104439865937803e-50,True,0.2128253933057121
M_67,0.2079084056909755,1.0918354392636667e-48,1.1104271281313072e-47,1.5236975914719055e-05,-8.997090619933068e-05,inf,5.75033331345531e-48,True,0.2079084056909755
M_161,0.2077386139976959,1.3075594328981463e-48,1.3196013860451252e-47,0.000111438668641,-5.335648281818532e-06,inf,6.456074699934599e-48,True,0.2077386139976959
M_100,0.2049928678051071,2.3612958388087147e-47,2.1091132117656142e-46,5.311154697774675e-05,-1.776830502590691e-05,inf,1.0973080662699322e-46,True,0.2049928678051071
M_107,0.2024230817286426,3.4117756010294283e-46,2.730550961749446e-45,1.94386348490477e-06,-3.614059289923076e-06,inf,1.4973904026740268e-45,True,0.2024230817286426
M_153,0.1981880877056111,2.5708397579182466e-44,1.7328242216653673e-43,2.355910100629885e-06,-2.57212180497713e-06,inf,1.0689281098712708e-43,True,0.1981880877056111
M_159,0.1951460850104882,5.397060918477211e-43,3.2375334859800236e-42,0.0078850032627362,0.0078806736519507,1.000549396025865,2.1318390627984985e-42,True,0.1951460850104882
M_33,0.191327090643625,2.2962239755279684e-41,1.199166016966357e-40,0.0001808091034314,-3.2254856257211136e-06,inf,8.638175907938549e-41,True,0.191327090643625
M_129,0.1908563833798028,3.6257905293063444e-41,1.862520090799098e-40,0.0099937992584223,0.0099891398053388,1.0004664518841802,1.301988417341824e-40,True,0.1908563833798028
M_115,-0.186365867356529,2.6662672604486248e-39,1.1773976779558774e-38,0.0021390580542029,0.002235691472694,0.9567769436564332,9.158048416323536e-39,True,0.186365867356529
M_3,0.1862133150231857,3.0795281963384206e-39,1.3531825730449692e-38,0.0005846193359707,0.0003895340395732,1.5008170700851644,1.01367803129473e-38,True,0.1862133150231857
M_70,0.185344626595614,6.97918884715345e-39,2.9823096186540284e-38,0.0001660281971823,1.3398555452975047e-05,12.391499797504824,2.20542367570049e-38,True,0.185344626595614
M_60,-0.184811435509887,1.1508665552752455e-38,4.835230329860512e-38,0.0016213303503122,0.0016912924637577,0.9586339353218568,3.496863764105554e-38,True,0.184811435509887
M_148,0.1826389149910015,8.694708615598846e-38,3.4146451220648107e-37,9.048115309939182e-05,-6.897706841805052e-05,inf,2.544007335675218e-37,True,0.1826389149910015
M_10,0.1789678598016695,2.502282094913096e-36,8.816505903849489e-36,0.0049598736409202,0.0049576455404928,1.0004494271341675,7.060010196361949e-36,True,0.1789678598016695
M_30,0.1709504515586852,2.9964198514730787e-33,8.521029639531769e-33,7.2736467632015486e-06,-1.330451719911363e-05,inf,8.162660974702525e-33,True,0.1709504515586852
M_155,0.1697407102933,8.477019817944915e-33,2.3399379252093568e-32,0.3805730861828266,0.3147596319634497,1.209091152537055,2.2322818853921608e-32,True,0.1697407102933
