PC,Proportion.Variance.Explained
1,0.01719981724816231
2,0.007549927095451423
3,0.006471297622029038
4,0.002900496599025231
5,0.0018486688876886304
6,0.0016877938780044859
7,0.001469629938959044
8,0.001065377649417708
9,0.0009248075716913945
10,0.0009106709123225134
