collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
GO,Resolution Of Meiotic Recombination Intermediates (GO:0000712),GO_Resolution Of Meiotic Recombination Intermediates (GO:0000712),14,3,0.21428571428571427,0.10936111,0.027653636,0.4592539025296512,0.0,0.0,True,0.4592539025296512
GO,Apoptotic Nuclear Changes (GO:0030262),GO_Apoptotic Nuclear Changes (GO:0030262),16,4,0.25,0.08863532,0.017033512,0.4299001861045194,0.0,0.0,True,0.4299001861045194
GO,Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),GO_Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),17,7,0.4117647058823529,0.075725466,0.009681658,0.32344571305531017,0.0,0.0,True,0.32344571305531017
GO,Nuclear Chromosome Segregation (GO:0098813),GO_Nuclear Chromosome Segregation (GO:0098813),16,4,0.25,0.16083167,0.032038126,0.29006142596054074,1.1818714107572176e-289,5.838444769140655e-287,True,0.29006142596054074
KEGG,Chagas disease,KEGG_Chagas disease,102,41,0.4019607843137255,0.18736647,0.01956727,-0.22885786553829057,4.0229303035963393e-178,1.5898620559812734e-175,True,0.22885786553829057
KEGG,Leishmaniasis,KEGG_Leishmaniasis,77,29,0.37662337662337664,0.194209,0.015786571,-0.22697914871907113,3.6373988227486554e-175,1.1979166789585572e-172,True,0.22697914871907113
GO,Neuron Maturation (GO:0042551),GO_Neuron Maturation (GO:0042551),17,6,0.35294117647058826,0.34455636,0.07117579,-0.21026954001147796,4.750417035656355e-150,1.3409748660652798e-147,True,0.21026954001147796
GO,Positive Regulation Of Endocytosis (GO:0045807),GO_Positive Regulation Of Endocytosis (GO:0045807),79,41,0.5189873417721519,0.14427127,0.010873276,-0.21006866811826672,9.244663207177239e-150,2.283431812172778e-147,True,0.21006866811826672
GO,Visual System Development (GO:0150063),GO_Visual System Development (GO:0150063),41,20,0.4878048780487805,0.13977656,0.007592957,-0.20832120913858748,2.9424083839673156e-147,6.460221074132685e-145,True,0.20832120913858748
KEGG,Neutrophil extracellular trap formation,KEGG_Neutrophil extracellular trap formation,189,45,0.23809523809523808,0.14590082,0.013546011,-0.20718164958845955,1.2263020816486063e-145,2.423172913337646e-143,True,0.20718164958845955
GO,Neuron Remodeling (GO:0016322),GO_Neuron Remodeling (GO:0016322),9,3,0.3333333333333333,0.6777461,0.27618495,-0.20640909337576013,1.518106193143548e-144,2.7270707615015008e-142,True,0.20640909337576013
KEGG,Pertussis,KEGG_Pertussis,76,31,0.40789473684210525,0.29873836,0.039000597,-0.20622537660452106,2.7573948434862806e-144,4.540510175607409e-142,True,0.20622537660452106
Reactome,Creation Of C4 And C2 Activators R-HSA-166786,Reactome_Creation Of C4 And C2 Activators R-HSA-166786,14,9,0.6428571428571429,0.47284025,0.12846355,-0.20618620966359746,3.131303981060687e-144,4.759582051212245e-142,True,0.20618620966359746
Reactome,Classical Antibody-Mediated Complement Activation R-HSA-173623,Reactome_Classical Antibody-Mediated Complement Activation R-HSA-173623,6,5,0.8333333333333334,0.83956593,0.4046844,-0.20610441344537472,4.0834102841156017e-144,5.7634419438660204e-142,True,0.20610441344537472
Reactome,RAC1 GTPase Cycle R-HSA-9013149,Reactome_RAC1 GTPase Cycle R-HSA-9013149,178,50,0.2808988764044944,0.15102588,0.014693197,-0.2032197112933138,4.420781132156265e-140,5.82364234476052e-138,True,0.2032197112933138
Reactome,Platelet Degranulation R-HSA-114608,Reactome_Platelet Degranulation R-HSA-114608,125,45,0.36,0.13694273,0.0076351822,-0.2025342620220712,3.936352695148256e-139,4.861395578508096e-137,True,0.2025342620220712
GO,Synapse Pruning (GO:0098883),GO_Synapse Pruning (GO:0098883),8,8,1.0,0.40493935,0.092550896,-0.20188773101858895,3.073202353129802e-138,3.572145793990876e-136,True,0.20188773101858895
GO,Positive Regulation Of Phagocytosis (GO:0050766),GO_Positive Regulation Of Phagocytosis (GO:0050766),60,35,0.5833333333333334,0.14253418,0.011332572,-0.20186594517581327,3.293149406894549e-138,3.6151462377909055e-136,True,0.20186594517581327
GO,Regulation Of Tumor Necrosis Factor Production (GO:0032680),GO_Regulation Of Tumor Necrosis Factor Production (GO:0032680),127,62,0.4881889763779528,0.13984248,0.008609882,-0.20125692619981297,2.266754470547295e-137,2.357424649369187e-135,True,0.20125692619981297
GO,Endocytosis (GO:0006897),GO_Endocytosis (GO:0006897),189,49,0.25925925925925924,0.14972049,0.014009625,-0.20097240434195265,5.570153416082574e-137,5.503311575089583e-135,True,0.20097240434195265
