collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
GO,Resolution Of Meiotic Recombination Intermediates (GO:0000712),GO_Resolution Of Meiotic Recombination Intermediates (GO:0000712),14,3,0.21428571428571427,0.14077546,0.033690054,0.47247704799904744,0.0,0.0,True,0.47247704799904744
GO,Apoptotic Nuclear Changes (GO:0030262),GO_Apoptotic Nuclear Changes (GO:0030262),16,4,0.25,0.11366311,0.02063859,0.4439691267399805,0.0,0.0,True,0.4439691267399805
GO,Nuclear Chromosome Segregation (GO:0098813),GO_Nuclear Chromosome Segregation (GO:0098813),16,4,0.25,0.17723534,0.033959474,0.32804194830579947,0.0,0.0,True,0.32804194830579947
GO,Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),GO_Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),17,7,0.4117647058823529,0.115903884,0.016372714,0.27807409664627075,2.371331800517945e-309,1.1714379094558647e-306,True,0.27807409664627075
GO,Neuron Maturation (GO:0042551),GO_Neuron Maturation (GO:0042551),17,6,0.35294117647058826,0.35975203,0.06535029,-0.24254433953809193,1.3911965202143148e-233,5.498008647886972e-231,True,0.24254433953809193
GO,Neuron Remodeling (GO:0016322),GO_Neuron Remodeling (GO:0016322),9,3,0.3333333333333333,0.71066976,0.25484902,-0.24067408874487678,6.41916534849383e-230,2.114045121437301e-227,True,0.24067408874487678
KEGG,Leishmaniasis,KEGG_Leishmaniasis,77,29,0.37662337662337664,0.21054702,0.016693294,-0.2356779649236243,2.754217889316593e-220,7.774763641842268e-218,True,0.2356779649236243
GO,Positive Regulation Of Endocytosis (GO:0045807),GO_Positive Regulation Of Endocytosis (GO:0045807),79,41,0.5189873417721519,0.15174031,0.01033427,-0.23343825844270713,4.841355057639148e-216,1.1958146992368695e-213,True,0.23343825844270713
KEGG,Phagosome,KEGG_Phagosome,152,48,0.3157894736842105,0.23176372,0.013599517,-0.2332691131381087,1.0085994162402836e-215,2.214436051656445e-213,True,0.2332691131381087
GO,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),GO_Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),43,19,0.4418604651162791,0.1704181,0.022006875,-0.22781568715784717,1.390493814241267e-205,2.7476157769407436e-203,True,0.22781568715784717
KEGG,Chagas disease,KEGG_Chagas disease,102,41,0.4019607843137255,0.21116,0.020165592,-0.2236064998201365,6.134163006330207e-198,1.1019187364098628e-195,True,0.2236064998201365
KEGG,Pertussis,KEGG_Pertussis,76,31,0.40789473684210525,0.3053888,0.033660717,-0.22258665303142286,4.1332401853565704e-196,6.806068838553819e-194,True,0.22258665303142286
Reactome,Creation Of C4 And C2 Activators R-HSA-166786,Reactome_Creation Of C4 And C2 Activators R-HSA-166786,14,9,0.6428571428571429,0.46560547,0.10947091,-0.21943331715271558,1.6287952948231605e-190,2.475768848131204e-188,True,0.21943331715271558
Reactome,Classical Antibody-Mediated Complement Activation R-HSA-173623,Reactome_Classical Antibody-Mediated Complement Activation R-HSA-173623,6,5,0.8333333333333334,0.8292912,0.34454733,-0.2191194468673676,5.807967829993108e-190,8.197531737190273e-188,True,0.2191194468673676
KEGG,Biosynthesis of unsaturated fatty acids,KEGG_Biosynthesis of unsaturated fatty acids,27,7,0.25925925925925924,0.16434605,0.018767405,0.2187582353752153,2.5025899194672947e-189,3.2967451205782496e-187,True,0.2187582353752153
GO,Positive Regulation Of Phagocytosis (GO:0050766),GO_Positive Regulation Of Phagocytosis (GO:0050766),60,35,0.5833333333333334,0.15846735,0.011418339,-0.21828096745409561,1.7171690063842843e-188,2.120703722884591e-186,True,0.21828096745409561
GO,Regulation Of Cellular Biosynthetic Process (GO:0031326),GO_Regulation Of Cellular Biosynthetic Process (GO:0031326),70,17,0.24285714285714285,0.13938513,0.011063172,-0.21823163718548205,2.094841422876309e-188,2.4349450891785804e-186,True,0.21823163718548205
GO,Synapse Pruning (GO:0098883),GO_Synapse Pruning (GO:0098883),8,8,1.0,0.41331452,0.07927922,-0.21662675033942586,1.313280317119352e-185,1.4416899481265778e-183,True,0.21662675033942586
GO,Positive Regulation Of Glucose Transmembrane Transport (GO:0010828),GO_Positive Regulation Of Glucose Transmembrane Transport (GO:0010828),31,10,0.3225806451612903,0.15468274,0.015995802,-0.21633839340890249,4.154747891598322e-185,4.320937807262255e-183,True,0.21633839340890249
GO,Regulation Of Receptor-Mediated Endocytosis (GO:0048259),GO_Regulation Of Receptor-Mediated Endocytosis (GO:0048259),39,14,0.358974358974359,0.22917753,0.027489593,-0.21393019414397502,5.85267961103166e-181,5.78244745569928e-179,True,0.21393019414397502
