flux_feature,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
M_157,-0.5827830166302481,5.729918205645115e-151,4.904212752384315e-124,0.007865657244067795,0.008844638548145161,0.889313588254811,5.156926385080603e-149,True,0.5827830166302481
M_130,-0.5730930734378761,6.238359763226925e-145,5.196295716011724e-120,1.058740129113269e-06,0.0005057518206446006,0.00209339855220662,2.8072618934521162e-143,True,0.5730930734378761
M_126,-0.5717927210958121,3.889873623398571e-144,1.7812807302260386e-119,0.014520316592009684,0.014655642497177419,0.9907662932420876,9.347646434665945e-143,True,0.5717927210958121
M_54,-0.5717458503121593,4.1545095265181975e-144,1.8620659103554745e-119,0.005284519989346248,0.005621324729999999,0.9400844539621978,9.347646434665945e-143,True,0.5717458503121593
M_84,-0.567351029628379,1.8982581877448835e-141,1.1726359016994372e-117,0.013576775795399515,0.013592023421774194,0.998878193047383,3.4168647379407903e-140,True,0.567351029628379
M_152,-0.5650456246654979,4.546500144626407e-140,1.0172497969441793e-116,0.028819094818401936,0.03292828607177419,0.875207860973529,6.819750216939611e-139,True,0.5650456246654979
M_47,-0.5603352932175196,2.7686511307519727e-137,8.17763689460599e-115,0.0012232495283292979,0.0014521103113709678,0.8423943544443275,3.559694310966822e-136,True,0.5603352932175196
M_64,-0.5602094709177448,3.2812374805829936e-137,9.189706872233609e-115,0.013279828346246974,0.01329079569516129,0.9991748162287748,3.691392165655867e-136,True,0.5602094709177448
M_56,-0.5596911105082393,6.601124964264715e-137,1.485754658835367e-114,0.0011079094140435837,0.0011632835308870966,0.9523984347983627,6.601124964264714e-136,True,0.5596911105082393
M_103,-0.556841856736841,3.011310170798531e-135,2.0671214401083207e-113,-1.154436344409443e-05,2.084646518488202e-06,-5.5378038155199905,2.710179153718678e-134,True,0.556841856736841
M_25,-0.5565210208255715,4.6192751817342036e-135,2.7781442643101183e-113,0.010724972583535108,0.016668190962096773,0.6434395074980568,3.7794069668734394e-134,True,0.5565210208255715
M_73,0.5564141733804487,5.3261279357084346e-135,3.065459203465633e-113,0.0001274856035364578,7.437793718386572e-06,17.140244589105432,3.994595951781326e-134,True,0.5564141733804487
M_100,-0.5556499009525471,1.4725772874378013e-134,6.194108274343268e-113,0.010025686719128329,0.010091088729032258,0.9935188351167931,1.0194765836107857e-133,True,0.5556499009525471
M_55,-0.5515471742809999,3.307527723969755e-132,2.6589406888123636e-111,0.002261772641646489,0.002334968022983871,0.9686525123184149,2.126267822551985e-131,True,0.5515471742809999
M_45,-0.5498486469713965,3.044053145367847e-131,1.2506344329940577e-110,0.0006694902852542372,0.0011370222533064515,0.5888101867024721,1.826431887220708e-130,True,0.5498486469713965
M_42,-0.54582796660059,5.5372753360866063e-129,4.793198476840875e-109,0.0011036091498789345,0.0012847937877419353,0.8589776510505719,3.114717376548716e-128,True,0.54582796660059
M_167,0.5418174805608904,9.268843397829177e-127,1.7724521702951033e-107,0.0002189643658589346,2.6297410137634347e-05,8.326461226140808,4.809561695539629e-126,True,0.5418174805608904
M_61,-0.5417882274015303,9.619123391079258e-127,1.819571401302063e-107,0.01435868092493947,0.014561376635483871,0.9860799074415489,4.809561695539629e-126,True,0.5417882274015303
M_60,0.532666221460675,8.513304675801418e-122,6.070906586795052e-104,4.075605984828555e-05,9.463415767289138e-06,4.306696530143091,4.0326180043269875e-121,True,0.532666221460675
M_24,-0.5295608024896554,3.801031633213998e-120,9.313180590964963e-103,0.002717793745520581,0.002751297201935484,0.9878226691062914,1.7104642349462993e-119,True,0.5295608024896554
