flux_feature,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
M_157,0.2842818548150468,3.49307025749095e-91,1.495997857790127e-87,0.006247436388167625,0.006241875399383983,1.0008909163396935,2.7595255034178506e-89,True,0.2842818548150468
M_135,0.2605290189167926,2.270671313447358e-76,7.797938846781488e-74,0.00757012983759244,0.007128373201437373,1.0619715920689998,8.969151688117064e-75,True,0.2605290189167926
M_2,0.2590666544456619,1.658625036029104e-75,4.9844084999266045e-73,0.00014974623799753493,0.0001231932909174538,1.21553890542524,4.36771259487664e-74,True,0.2590666544456619
M_92,-0.25399642587045473,1.4832641609027042e-72,2.8573034743345273e-70,0.0034523689250616266,0.0034902446505133467,0.9891481173257728,2.9294467177828407e-71,True,0.25399642587045473
M_123,0.24445065488711273,3.544006796872271e-67,3.1775978669125346e-65,0.01303560696117502,0.013008410721560575,1.0020906658158764,5.599530739058188e-66,True,0.24445065488711273
M_8,0.2384879518387818,6.193793706136965e-64,3.6034203940642105e-62,0.003453090596713229,0.003434673659753594,1.0053620631198354,8.155161713080338e-63,True,0.2384879518387818
M_57,0.23630246024288623,9.07964277740698e-63,4.545230047936179e-61,1.7563371181060424e-05,-3.6252913911337245e-06,inf,1.024702542021645e-61,True,0.23630246024288623
M_47,-0.2317719442798547,2.1751372043210664e-60,8.082543820023855e-59,0.001317442646133936,0.0013482141772505132,0.9771760810442364,2.147947989267053e-59,True,0.2317719442798547
M_75,0.2313314824902479,3.6821081829681435e-60,1.3304203343663449e-58,-5.169241073231442e-06,-1.9703319456084877e-05,inf,3.232072738383148e-59,True,0.2313314824902479
M_19,0.2203423830517572,1.3027671578223862e-54,2.464473665447813e-53,2.016374084195955e-05,-5.5075224978838426e-05,inf,1.029186054679685e-53,True,0.2203423830517572
M_132,0.2201548176406684,1.6106638948511666e-54,3.0159796895127904e-53,0.010069249431594084,0.010062512563449692,1.0006695015883869,1.1567495244840198e-53,True,0.2201548176406684
M_6,0.21604468395552906,1.601517726886628e-52,2.4138097857740398e-51,0.009838455794823335,0.008990148708213552,1.0943596278707555,1.0543325035336967e-51,True,0.21604468395552906
M_150,-0.21252267484135576,7.649357150376206e-51,9.668132526224751e-50,0.004994321435661462,0.0050106367750308006,0.9967438590937899,4.3901411010873585e-50,True,0.21252267484135576
M_151,-0.2125071087030855,7.779996888002914e-51,9.825797006845966e-50,0.0035061117459888607,0.003853238895416477,0.9099128917647612,4.3901411010873585e-50,True,0.2125071087030855
M_67,0.2080632929214871,9.26117793925152e-49,9.485579399136608e-48,1.6897020038039432e-05,-8.949735602166578e-05,inf,4.877553714672467e-48,True,0.2080632929214871
M_161,0.20769433809867463,1.3704688114772955e-48,1.3803140397930663e-47,0.00011728847456193807,-1.7409533892586285e-06,inf,6.766689756669147e-48,True,0.20769433809867463
M_100,0.2052734282285729,1.7602301653119796e-47,1.5916143255836182e-46,5.923297131364681e-05,-1.591497969272356e-05,inf,8.17989312115567e-47,True,0.2052734282285729
M_107,0.2022212882834371,4.201358666947644e-46,3.33421788082164e-45,1.9931280154798066e-06,-3.605941382607774e-06,inf,1.8439296371603547e-45,True,0.2022212882834371
M_153,0.19830904784250694,2.275369507211479e-44,1.5409717875591692e-43,2.4837354457618445e-06,-2.5225347522731993e-06,inf,9.460746898405624e-44,True,0.19830904784250694
M_159,0.19384893888368193,1.9465320336524397e-42,1.1129124718455881e-41,0.007849630166803616,0.007845390198767968,1.0005404406827736,7.688801532927136e-42,True,0.19384893888368193
M_33,0.19123941819038665,2.5003735444455496e-41,1.3017601144250221e-40,0.00019463418367427502,4.200994040363925e-06,46.33050697149149,9.406167143390403e-41,True,0.19123941819038665
M_129,0.19117023311539974,2.6741306774469145e-41,1.3888437310134713e-40,0.00993442600965489,0.009929806289938399,1.0004652376473016,9.602560159923012e-41,True,0.19117023311539974
M_115,-0.18638150128944939,2.627164143428391e-39,1.1607189327703784e-38,0.002123149377440427,0.002218692554312115,0.9569371715400604,9.023737710036647e-39,True,0.18638150128944939
M_3,0.1863217329843942,2.779804217778635e-39,1.2257782866441688e-38,0.0006276300133547186,0.00042095844855691105,1.4909547854575647,9.15018888352134e-39,True,0.1863217329843942
M_70,0.18537545797408317,6.779912478023702e-39,2.9000080156389635e-38,0.0001770327561149798,2.071978661323426e-05,8.544139928637318,2.1424523430554897e-38,True,0.18537545797408317
M_60,-0.1841121032915465,2.2127163316513897e-38,9.094295152678987e-38,0.0016157350297740347,0.0016831675834989735,0.9599371123909363,6.723253469248454e-38,True,0.1841121032915465
M_148,0.18250389976366713,9.850805911663442e-38,3.852799239963556e-37,0.0001004722167217501,-6.329263434344807e-05,inf,2.8822728408200442e-37,True,0.18250389976366713
M_10,0.1785972614652728,3.498618647975649e-36,1.2197233751725198e-35,0.0048916811809778145,0.004889391796796714,1.00046823496178,9.871102613931295e-36,True,0.1785972614652728
M_30,0.17105185698643513,2.745313025618838e-33,7.826684704659726e-33,7.722134270633989e-06,-1.306842612702466e-05,inf,7.478611345651318e-33,True,0.17105185698643513
M_155,0.16983466574915304,7.821433377084957e-33,2.1639214157735417e-32,0.3842425941626952,0.31767535218316223,1.20954487504952,2.0596441226323718e-32,True,0.16983466574915304
M_34,0.16761363638545415,5.178804601795449e-32,1.3587380761285727e-31,0.0001709157685216438,5.1559644686793335e-05,3.314913622075886,1.3197598823930339e-31,True,0.16761363638545415
M_145,0.1674426193173841,5.98375033272378e-32,1.5636638488029859e-31,1.6428329930013928e-06,-1.0723266667092277e-06,inf,1.477238363391183e-31,True,0.1674426193173841
M_13,0.16733177335837593,6.570610226053558e-32,1.7125890137205915e-31,0.0023780438601479045,0.002342752130020534,1.0150642185637715,1.572964266237064e-31,True,0.16733177335837593
M_80,0.1652704540082865,3.699142774464628e-31,9.197864790500112e-31,3.620740115060742e-05,3.925427491813928e-05,0.9223810967369593,8.595067034785459e-31,True,0.1652704540082865
M_167,-0.16429407078401767,8.32156834449979e-31,2.0247375260137513e-30,0.0038044519991331143,0.003932174032492813,0.9675187231530723,1.8782968549013812e-30,True,0.16429407078401767
M_158,0.16342306019123004,1.7079584359447e-30,4.077361387238785e-30,0.002661043102465078,0.0026570060294455852,1.0015194067965045,3.7480199011008695e-30,True,0.16342306019123004
M_4,0.15674387883919141,3.7138493275237428e-28,7.739638254123631e-28,0.0050020699385784715,0.00492272001470226,1.0161191218755534,7.929570185793937e-28,True,0.15674387883919141
