flux_feature,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
M_7,0.38667168628792137,1.3610821399553615e-90,7.841900748823858e-84,0.000451866476141626,9.505651094838592e-05,4.753661497074955,1.4019146041540224e-88,True,0.38667168628792137
M_32,0.3714790377524481,3.1679914284941747e-83,1.6112799369222995e-77,0.02004481871746032,0.02001470346927966,1.0015046562257035,1.6315155856745e-81,True,0.3714790377524481
M_29,0.368322872654821,9.602041621343755e-82,3.0692726282771637e-76,0.02023783977301587,0.020152642610699153,1.0042275925774362,3.296700956661356e-80,True,0.368322872654821
M_5,0.3673931797977702,2.6039302162144254e-81,7.277251025860629e-76,0.03349471132222222,0.032735730632944916,1.0231850847560882,6.705120306752146e-80,True,0.3673931797977702
M_76,0.36204661009214245,7.579446190963177e-79,9.997136943109907e-74,6.519441023015872e-05,2.6471494537213986e-05,2.462815619968398,1.5613659153384145e-77,True,0.36204661009214245
M_118,0.3532595554901783,6.730375457060029e-75,2.7915112659675047e-70,0.008846742303174603,0.00881980547431144,1.0030541295884154,9.493534834147221e-74,True,0.3532595554901783
M_47,0.3531730834368476,7.349817591037537e-75,3.0153136385183195e-70,3.2392525260186506e-05,1.069410651099634e-05,3.0290071664125016,9.493534834147221e-74,True,0.3531730834368476
M_113,0.3531699074930221,7.373619288658034e-75,3.023865507111145e-70,0.03128969418730159,0.029323600105402546,1.067048182175176,9.493534834147221e-74,True,0.3531699074930221
M_140,0.351542660363808,3.845909192470338e-74,1.2862250308615618e-69,0.041602151312698406,0.03753882052913136,1.1082434324332,4.4014294091604984e-73,True,0.351542660363808
M_39,0.35033046757579317,1.3080026427586896e-73,3.765500124694075e-69,8.974687157187348e-06,1.3108487111727223e-06,6.846470596258465,1.2279357707104147e-72,True,0.35033046757579317
M_153,0.3503279023833543,1.3113877162926757e-73,3.7740545115576366e-69,0.019596846428571426,0.0183241066467161,1.0694571258721317,1.2279357707104147e-72,True,0.3503279023833543
M_67,0.33891701263528895,1.019195014748821e-68,7.75751098776203e-65,0.00014142188308888888,0.00011108588562711865,1.2730859756891069,8.748090543260713e-68,True,0.33891701263528895
M_8,0.3360661578920013,1.5789080675567463e-67,8.812457335416252e-64,0.0046077595549841276,0.003087427984602754,1.4924265692878949,1.2509810073718835e-66,True,0.3360661578920013
M_121,-0.329582399937579,7.219210229160101e-65,2.053017074990471e-61,0.012208650386190475,0.01712534588056144,0.7128994924446002,5.311276097167789e-64,True,0.329582399937579
M_101,0.32926724495196436,9.68621397256035e-65,2.6686544266622412e-61,1.0257684934480732e-05,3.4956942875834634e-06,2.934377005139017,6.651200261158107e-64,True,0.32926724495196436
M_119,-0.3271333984160524,7.023866264186283e-64,1.5654430627638722e-60,-6.475399394512905e-06,1.3519396467113809e-05,-0.47897104062777046,4.52161390756992e-63,True,0.3271333984160524
M_120,0.3252228938100183,4.084088571626758e-63,7.557089328499721e-60,0.020724298111111112,0.019209216118644068,1.0788726610762913,2.4744771933973886e-62,True,0.3252228938100183
M_134,0.3250399992558238,4.8305267962806186e-63,8.782112829043825e-60,0.02191807599047619,0.021800623597457627,1.005387570336853,2.7641347778716873e-62,True,0.3250399992558238
M_117,0.3235010515171511,1.974261411906929e-62,3.098481815334475e-59,2.8316337132869284e-05,9.119771407933693e-06,3.1049393527819844,1.0702575022442825e-61,True,0.3235010515171511
M_112,0.3208988945476718,2.0947562093338493e-61,2.5770077950905217e-58,1.3359360570340843e-05,2.696959159733999e-06,4.953490126879962,1.0787994478069323e-60,True,0.3208988945476718
M_151,0.3196000885306524,6.750172105609103e-61,7.37117861855405e-58,0.014842959868253968,0.014795411152542372,1.0032137475073428,3.3107986994177985e-60,True,0.3196000885306524
M_30,0.3088968167021184,8.357485940528641e-57,3.6215802220423036e-54,0.009938882954126984,0.008488092753813558,1.170920634633924,3.912822963065682e-56,True,0.3088968167021184
M_35,0.3043026840712073,4.2398090562888915e-55,1.2737160623606364e-52,0.00043945952619523805,0.00030317523610900424,1.449523159725466,1.8986970991206774e-54,True,0.3043026840712073
M_34,0.303182533317381,1.0926789716782205e-54,3.0100944059670925e-52,0.000822408106904762,0.0006344215867161016,1.296311670543428,4.6894139201190294e-54,True,0.303182533317381
M_78,-0.2967644089280581,2.288037874285764e-52,3.9114173508975327e-50,-5.492971876766603e-06,1.081726342338983e-06,-5.077968116121977,9.426716042057348e-52,True,0.2967644089280581
M_61,-0.29662580484223805,2.5641076952204975e-52,4.33997938161624e-50,-2.869338972686619e-06,8.532056265188772e-06,-0.3363009904650617,1.015781125414274e-51,True,0.29662580484223805
M_102,-0.296082019362793,4.006541916235624e-52,6.522837007568795e-50,0.01642379827460317,0.016455710496292374,0.9980607205203085,1.5284215458232195e-51,True,0.296082019362793
M_166,-0.2943102616957335,1.7037249310248998e-51,2.447583742082531e-49,0.0004569462603650794,0.0004905649160222458,0.9314695067683114,6.267273853413024e-51,True,0.2943102616957335
M_81,0.2901292562408878,4.979896999740554e-50,5.375699874097939e-48,5.407415583007794e-06,3.7104455753655776e-06,1.4573493865288725,1.7687220378388867e-49,True,0.2901292562408878
M_130,-0.2857281048569551,1.6354806743167842e-48,1.325038021227109e-46,0.0007242185835269841,0.0012181302401536016,0.5945329650757729,5.615150315154292e-48,True,0.2857281048569551
M_155,0.28484005661675954,3.28350839862608e-48,2.51480403327665e-46,0.002417830237145238,0.0014320560428648836,1.68836286065193,1.0909721453499558e-47,True,0.28484005661675954
M_18,-0.27988074740601787,1.5366118734493945e-46,8.684865951526048e-45,0.017194559573015872,0.017338502378177967,0.9916980831433712,4.945969467665239e-46,True,0.27988074740601787
M_137,0.2755180958932415,4.243636952106501e-45,1.8613786423158965e-43,0.0023784191598412697,0.002348606924523305,1.0126935823132752,1.3245291092938472e-44,True,0.2755180958932415
M_42,-0.2734909857145952,1.943071683833969e-44,7.608073656773626e-43,-3.1240071628836535e-07,6.641826943130115e-05,-0.004703535924125407,5.886364218673494e-44,True,0.2734909857145952
M_159,-0.2725360687786915,3.9609923393618493e-44,1.4714964267776126e-42,3.908766509877492e-06,4.458423452120205e-05,0.08767149535826789,1.1656634598693441e-43,True,0.2725360687786915
M_126,-0.2691724543409457,4.7582459787848656e-43,1.4756347575120366e-41,0.012371300395238096,0.012700750153336864,0.9740606063325943,1.3613870439301143e-42,True,0.2691724543409457
M_56,0.2690735251535938,5.116443209742365e-43,1.578483638574869e-41,2.95436000598623e-05,1.9175418856792114e-05,1.5407016806518248,1.4243071637931449e-42,True,0.2690735251535938
M_85,0.2688925989023129,5.8422666679114024e-43,1.785364119826737e-41,0.013999726001587304,0.013982275009004237,1.001248079627373,1.583561754723354e-42,True,0.2688925989023129
M_106,0.26817717747378533,9.861930596857303e-43,2.903194956564742e-41,0.005831074028253968,0.00480833604592161,1.2127010201792854,2.604561157631544e-42,True,0.26817717747378533
M_48,-0.2676372874187527,1.4624969043413362e-42,4.18649763549384e-41,0.013740911598412698,0.014115119678230932,0.9734888482458028,3.765929528678941e-42,True,0.2676372874187527
M_152,-0.26344745219735477,3.0185782128803745e-41,6.995305506913417e-40,0.009128479117460318,0.009197492213188559,0.992496531214315,7.583257461626306e-41,True,0.26344745219735477
M_171,0.259316825224884,5.6603981323952274e-40,1.075969312552129e-38,4.109483450571873e-06,3.871888760367273e-06,1.0613640279743115,1.3881452562778773e-39,True,0.259316825224884
M_115,0.25758998723949145,1.8979994814244747e-39,3.3306869432278126e-38,0.004865445523174603,0.004782509869067797,1.0173414496524547,4.5463708508539745e-39,True,0.25758998723949145
M_132,0.2547940200748329,1.3202533001384895e-38,2.0427821637759766e-37,0.026615942557142853,0.024431069206038138,1.0894301159183293,3.0905929525969186e-38,True,0.2547940200748329
M_46,0.24918948009357536,5.998575431050461e-37,7.304161414434076e-36,0.007367313026984126,0.006003474187452331,1.2271749318723333,1.3730072653293278e-36,True,0.24918948009357536
M_21,0.24612060706519584,4.6568478206901946e-36,5.008145496801275e-35,3.957584103400734e-05,2.5122921447626132e-05,1.575288173252911,1.0427289685458479e-35,True,0.24612060706519584
M_3,0.23816204630149973,8.300084379238172e-34,6.61158791261521e-33,0.00514199168168254,0.004108898720805085,1.2514281882019798,1.8189546618330463e-33,True,0.23816204630149973
M_80,0.23246479153648725,3.021576554264449e-32,1.977658686389591e-31,0.0024725603900952377,0.002113633307971398,1.1698152090857836,6.48379968935913e-32,True,0.23246479153648725
M_148,0.23183660127577674,4.464993634576761e-32,2.8623596619502518e-31,0.0007462078271904762,0.0006708708216154662,1.1122973352658228,9.385598864518497e-32,True,0.23183660127577674
M_91,0.22351444655236233,7.064114667948528e-30,3.4958186948197094e-29,0.010443490884920635,0.010436462923199153,1.0006734045598782,1.4552076215973967e-29,True,0.22351444655236233
M_14,0.2215029644215093,2.3305240691316074e-29,1.088084990629204e-28,-1.5285929632187382e-05,-2.5231785210900027e-05,inf,4.7067446886383445e-29,True,0.2215029644215093
M_169,0.2131775056441608,2.8777601042431e-27,1.0739368414793834e-26,0.010244307346031746,0.010027700364936441,1.0216008629309177,5.700178668019986e-27,True,0.2131775056441608
M_58,-0.21138690202520635,7.899516826922855e-27,2.818954270366578e-26,0.011824981369841269,0.012709418442002117,0.9304108936064329,1.5351891191944415e-26,True,0.21138690202520635
M_124,-0.21095472696705986,1.0065840280382911e-26,3.554043265110795e-26,-1.1052635433291985e-05,-8.825840531291229e-06,inf,1.919965831258222e-26,True,0.21095472696705986
M_110,-0.20969535658279823,2.0334285769062112e-26,6.96337158259132e-26,0.0005583726226190476,0.0006456471013294492,0.8648263447157198,3.808057153115268e-26,True,0.20969535658279823
M_55,0.20910750411520654,2.819043565121685e-26,9.518687449801301e-26,0.0014058130573015874,0.0013808743569915256,1.0180600792416734,5.185026557277385e-26,True,0.20910750411520654
