Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
AttentionFusion,0.8362464668746691,0.01230874948421069,0.8253873792948574,0.8591634252212639,0.8385998097200408,0.8306283179364196,0.8253873792948574,0.8274534022007635,0.8591634252212639
LateFusion,0.8339447630532687,0.011772283014070017,0.8229608237208177,0.8545972151756016,0.838948843964804,0.8229608237208177,0.8240512014372333,0.8291657309678868,0.8545972151756016
SimpleMultiModal,0.8334495695522653,0.013301776707368814,0.8216427127779024,0.8543097130616155,0.8440830251135768,0.822324680661814,0.8216427127779024,0.8248877161464181,0.8543097130616155
EarlyFusion,0.8320934205757883,0.012464659424790022,0.8202110936447339,0.8526918090083996,0.8394723953319484,0.8277459706248278,0.8202110936447339,0.8203458342690322,0.8526918090083996
LogisticRegression,0.825961969243305,0.008930944019710755,0.8152370336592862,0.8399233327696037,0.8307296504590926,0.8152370336592862,0.8260891533797439,0.8178306759487987,0.8399233327696037
