gene,n_patients
GPR155,2
BDH2,2
TMEM107,2
GPR141,2
INSC,2
ARHGAP26,2
IL6R,2
ADAM28,2
ASPHD2,2
CD207,2
PPP2R2B,2
NDRG2,2
SLC35E4,2
PREX1,2
BMP8B,2
CD300A,2
TMEM220,2
EMILIN2,2
CITED4,2
RBM38,2
OLFM4,2
GNA15,2
SLCO4A1,2
NXN,2
C3AR1,2
MDFIC,2
CSF2RB,2
DCST1,2
LPIN2,2
MAN1C1,2
VAV1,2
CFB,2
GSTT2B,2
PLEKHO1,2
CGAS,2
CD68,2
IGDCC4,2
TEX38,2
TMEM163,2
ITGAM,2
CYP7A1,2
GPR15,2
ATP4B,2
SELPLG,2
EFHD1,2
CR1L,2
PLD1,2
ALDH2,2
FLT3,2
DNAJC5B,2
PCDHB6,2
GIPC3,2
PORCN,2
ZNF366,2
GOLGA8M,2
AC010325.1,2
CEACAM16,2
PARVG,2
KCNAB3,2
DCHS1,2
NME9,2
FANCE,2
ZNF319,2
DIAPH2,2
PLCH2,2
APOBR,2
FOXI2,2
ASGR2,2
MAFB,2
PBX4,2
FAM3D,2
EBF4,2
PCDHA4,2
TXK,2
CEP126,2
SMIM3,2
PDZD2,2
EFS,2
ST3GAL5,2
ADGRG6,2
CD80,2
CMPK2,2
RASA3,2
IL15RA,2
GPR153,2
PDZRN3,2
ADAMTS15,2
LPAR1,2
FAM124B,2
HAVCR2,2
TP63,2
SECTM1,2
SNX20,2
SH3TC1,2
MITF,2
IFIT2,2
EPHA2,2
ARMC12,2
PTPRE,2
ADAP1,2
TNFRSF10D,2
CEBPD,2
STAG3,2
PROM1,2
PDLIM3,2
GADD45B,2
FAM181B,2
PRKD3,2
MERTK,2
FCHO1,2
SOX7,2
LRRN1,2
TAFA5,2
LEF1,2
ZBED2,2
NYAP1,2
ZNF582,2
DIRAS1,2
APOLD1,2
PRR5L,2
STAT5A,2
MX2,2
SOX21,2
TUBB2B,2
EPHB2,2
GSTM1,2
MMP17,2
SNED1,2
NFIX,2
LOXHD1,2
CDHR4,2
DEF6,2
SLIT1,2
ARHGAP42,2
TSSK1B,2
MFSD6L,2
CTLA4,2
ATP10A,2
IGFBP3,2
GLB1L3,2
ETV2,2
ITGAL,2
ITGAX,2
LRRN2,2
KCNRG,2
KLF4,2
AFAP1L2,2
CX3CL1,2
CDH6,2
CYP26A1,2
SUGCT,2
AXL,2
WBP2NL,2
SSPN,2
PCSK6,2
TDRP,2
ZC2HC1B,2
TNFAIP8L2,2
CHN1,2
CRYM,2
CD53,2
ACSL5,2
CCDC188,2
PHLDA1,2
COL4A6,2
KSR1,2
HABP4,2
FOXP3,2
SPDYE4,2
ADAM22,2
APOL3,2
CYP27A1,2
NKX6-3,2
IL17D,2
ADAD2,2
HFE,2
DLK2,2
SYT11,2
ATP8B4,2
FGR,2
PJVK,2
ADGRE1,2
TNFRSF8,2
FCGR2B,2
TIFAB,2
CDC42EP3,2
NIPAL2,2
AKNA,2
GAL3ST4,2
RNF165,2
RBP5,2
MYOZ3,2
SMIM38,2
PLEKHG4B,2
MLKL,2
HERC5,2
CRIM1,2
ZNF503,2
CD83,2
SCD5,2
ZNF469,2
GAREM2,2
CEBPA,2
GNB3,2
UNC5A,2
C14orf132,2
CDCP2,2
DUSP27,2
FGD3,2
ECT2L,2
TMEM262,2
ATF3,2
NUDT18,2
COL27A1,2
GBP1,2
PDZK1IP1,2
PTAFR,2
KLRG1,2
GLIPR1,2
MSR1,2
ISG20,2
PLCG2,2
TIGD1,2
STX1B,2
PANO1,2
UBE2E3,2
MSX1,2
PIK3CG,2
TNS4,2
SNAI2,2
CHST11,2
CYBA,2
PAEP,2
MAPK11,2
ERP27,2
FAM81A,2
ICAM1,2
NBL1,2
TNFSF8,2
TYROBP,2
NUDT10,2
ARHGAP22,2
OSMR,2
S100A5,2
GRK7,2
HLF,2
HYAL4,2
SLC49A4,2
IRX1,2
SHOC1,2
IQCJ,2
SERPINB9,2
CTSS,2
GIMAP6,2
TMEM200A,2
PRIMA1,2
TSSK4,2
ABCC3,2
BTN3A2,2
OTULINL,2
IL4R,2
CENPV,2
ANKRD55,2
WIPF1,2
CARD6,2
CCNJL,2
EVC2,2
IPCEF1,2
NKX6-1,2
KREMEN1,2
DCN,2
VASH2,2
MUC3A,2
TNFAIP3,2
VLDLR,2
C1S,2
CORO1A,2
C8orf58,2
AREG,2
F2RL3,2
IL32,2
MGLL,2
CMTM7,2
TENT5B,2
EPSTI1,2
IFNE,2
SLC15A3,2
IL21R,2
SH3RF2,2
SEPTIN1,2
KCNK6,2
BOK,2
ST6GAL1,2
RASGEF1B,2
ALDH3A1,2
SLC34A2,2
RGL4,2
FBLN1,2
RTL5,2
LST1,2
EDN1,2
POU6F1,2
CD14,2
C1R,2
DSE,2
IRGM,2
ADGRF1,2
TCN2,2
ITGB2,2
KCNT1,2
CBFA2T3,2
GHRL,2
ARID5A,2
SLC9B2,2
BIN1,2
NCALD,2
CDK6,2
CCL4L2,2
PGBD5,2
KCNMB1,2
PDE11A,2
SMOC2,2
KCNMA1,2
NABP1,2
CXCR6,2
DGKA,2
GRIA4,2
IGSF6,2
DNAJC18,2
PTPN13,2
OLFML2B,2
ADPRM,2
TMPRSS11B,2
LSP1,2
ZNF132,2
ZNF471,2
FAM49A,2
PLAC8,2
BAHCC1,2
TESPA1,2
FMNL1,2
EDIL3,2
RTN4R,2
CSGALNACT1,2
HOXB4,2
HLX,2
DAPP1,2
FZD10,2
NRP2,2
LTA,2
RNF212,2
SIGLEC7,2
KIF5A,2
TMEM140,2
ACTRT3,2
KANK4,2
SCGB1A1,2
KLRC4,2
ZNF404,2
REP15,2
PCDHB12,2
SGSM1,2
TTLL9,2
CSF1,2
CNR2,2
TRPV3,2
LRRC75A,2
DUSP2,2
SEMA6A,2
DRC3,2
WNT7A,2
LYSMD4,2
TMEM272,2
ACHE,2
PGPEP1L,2
FUT4,2
SFMBT2,2
PDE9A,2
HSPA1L,2
ZC3H12B,2
FGD2,2
ANTXR2,2
CACNA1B,2
SLC37A2,2
GRIN2D,2
PITX2,2
PODNL1,2
CACNA1H,2
SLC5A1,2
TMEM173,2
FZD2,2
IL17REL,2
CXCL16,2
CPAMD8,2
LRIG3,2
CYBRD1,2
CSF1R,2
ATP8B2,2
FAM155A,2
C12orf60,2
WLS,2
CMKLR1,2
SYNE1,2
TRPM3,2
ARHGAP45,2
TTYH2,2
GRK5,2
APOC1,2
LIX1L,2
STON2,2
CCNB3,2
OR52N4,2
TEAD2,2
PCSK1,2
PTPRC,2
ZNF354C,2
NCF4,2
CARD9,2
SNORC,2
ACRV1,2
GTSF1,2
OR51E2,2
LRP4,2
HOXA4,2
NR4A3,2
CHSY3,2
HOXD9,2
SPRY2,2
LRRC4,2
HVCN1,2
PCDH10,2
RYR2,2
PLPPR4,2
MEF2B,2
TAF3,2
GRIN2A,2
CRYBB3,2
PGAM2,2
SPATC1,2
NPC1L1,2
GCNT3,2
PALD1,2
PDE2A,2
AVPR1A,2
SLC38A11,2
DNM1,2
ADAMTSL1,2
PCDHGA8,2
PRX,2
AADAT,2
ADRA2C,2
RGS13,2
PTGIR,2
ZNF662,2
COL24A1,2
PCDH17,2
JAM2,2
SMOC1,2
LDHC,2
DLX4,2
SLITRK4,2
POMC,2
ALPK3,2
PTPN7,2
MAFF,2
ATP8A1,2
TAC3,2
ACACB,2
C1QC,2
RGS1,2
TMEM132E,2
FBLIM1,2
SYT1,2
OBSCN,2
PCDHA6,2
APOBEC3D,2
CBX7,2
PPP4R4,2
SCUBE1,2
DUSP15,2
BIRC7,2
LILRA6,2
RAMP2,2
KALRN,2
OGFRL1,2
TPSG1,2
SEPTIN6,2
XKR6,2
SMIM35,2
GLIS3,2
TAGAP,2
ITGA10,2
SMO,2
ODF3B,2
NRTN,2
ZEB2,2
PFKP,2
AEBP1,2
CCND2,2
CD4,2
STAC2,2
C4orf36,2
SIGLEC10,2
PCDHA5,2
GCNT4,2
RBM24,2
AJUBA,2
HACD1,2
C16orf96,2
CNTD1,2
ADAM19,2
APBB1IP,2
ZFP36L2,2
GPR150,2
CELSR1,2
IL27,2
TRMT9B,2
TMPRSS3,2
TRDMT1,2
ANO5,2
JPH3,2
DUOX2,2
C9orf24,2
CTHRC1,2
APOBEC3H,2
SLURP2,2
RIN3,2
LRRK1,2
IL1R1,2
RNF157,2
TMEM170B,2
SAMD4A,2
CNTNAP1,2
FCGR1B,2
ATP2A3,2
TMEM106A,2
VTCN1,2
CLDN6,2
MMP24,2
MUC7,2
CD160,2
KIF7,2
RIMS2,2
CABP1,2
TPRG1,2
HDAC9,2
WNT10B,2
TUBA1A,2
LRP5L,2
NFAM1,2
CD1E,2
SIGLEC9,2
SPI1,2
ANKRD6,2
ST8SIA5,2
PCNX2,2
AIF1,2
LTK,2
CCDC42,2
EMP3,2
TBKBP1,2
SLC9B1,2
SOSTDC1,2
PLEK,2
TUBA4A,2
TNFAIP2,2
SCEL,2
TEX29,2
KRT23,2
DTX4,2
CHRM1,2
PCDHB5,2
SLC24A2,2
BPIFB1,2
THEMIS,2
CCN4,2
GBGT1,2
TNFAIP8L3,2
LGALS9,2
DEFB124,2
UPK3B,2
HOXC4,2
TLR1,2
LRRC3,2
TCTE1,2
SLC26A10,2
CROCC2,2
DUSP19,2
NMI,2
IFNL1,2
ST8SIA6,2
LPAR3,2
MEGF6,2
SP6,2
PIK3R5,2
IL27RA,2
MMP28,2
CCL28,2
PFKFB3,2
RAI2,2
PRSS12,2
AMDHD1,2
PITPNM2,2
RASAL1,2
TGM5,2
ZNF98,2
KCTD12,2
MCF2L2,2
EGR3,2
PCBP2,2
NNMT,2
GNA14,2
FSCN1,2
SMC1B,2
GPNMB,2
SUSD3,2
DRD2,2
HCST,2
ANXA8,2
CDIP1,2
PIWIL4,2
TBC1D1,2
ZNF80,2
CD86,2
IGSF9B,2
ASCL2,2
NLRC5,2
KCNAB2,2
TCF7L1,2
CHRNE,2
SYDE1,2
PHETA1,2
LPAR4,2
PLIN2,2
MCOLN3,2
CXCR4,2
ADRB2,2
RNF217,2
SLA,2
TRIM22,2
PSPN,2
IRX2,2
REEP1,2
TNMD,2
ERICH4,2
DZIP1L,2
NACAD,2
GJD4,2
DOCK2,2
BMERB1,2
BEND4,2
TULP1,2
DDO,2
C3,2
RARB,2
TMEM71,2
EIF4E3,2
NKD1,2
ITGB4,2
TMEM98,2
SLC12A8,2
CRMP1,2
ITGA4,2
NOD1,2
ADAMTS10,2
HSPA6,2
TRIM29,2
HCLS1,2
TEKT5,2
FCRL6,2
ADCY7,2
EVC,2
MOGAT3,2
GSX2,2
TMEM40,2
COL8A2,2
ITGA6,2
KLHL35,2
CDK14,2
BTN3A3,2
STK32B,2
CFAP54,2
VWA3B,2
GSTP1,2
PPP1R14C,2
PELI1,2
DLG4,2
FUT9,2
RNF125,2
TM6SF1,2
PSMB9,2
ELMO1,2
QRFP,2
CAMKK1,2
LARP6,2
SLC52A1,2
A4GALT,2
CCDC194,2
GLIPR2,2
FGD1,2
SOX5,2
MILR1,2
SPSB1,2
OR51Q1,2
PTGS2,2
SLC30A3,2
IGLC2,2
LINC01750,2
NPHS2,2
WNT3A,2
P4HA3,2
RTP3,2
CAMK1G,2
OR2I1P,2
COL11A1,2
CBY3,2
POMK,2
AC024361.2,2
C2orf66,2
AC002558.3,2
MAP7D2,2
IL1A,2
LEFTY2,2
TMEM119,2
NFIA-AS2,2
CST5,2
ACTRT2,2
FCER2,2
ZNF280A,2
PPARGC1A,2
LYPD4,2
SLC6A17,2
OLFML1,2
ABCB1,2
AC073349.1,2
BHMG1,2
LEPR,2
VSIG10L,2
GCK,2
MUCL1,2
SLITRK2,2
KLB,2
LINC01772,2
OR4Q3,2
TMIGD2,2
S100G,2
AC007952.2,2
ODC1-DT,2
ARPP21,2
NNAT,2
COL6A6,2
RAET1G,2
AC011416.3,2
SLC28A1,2
AC006460.2,2
AL160272.1,2
MEF2C,2
PDX1,2
PLPPR1,2
DSEL,2
FAM92B,2
TMEM246,2
NAT2,2
AC003101.1,2
OR2T1,2
GCNT7,2
CXCL13,2
MS4A8,2
SCAT1,2
AC108053.1,2
ENPP6,2
GCSAML,2
FOXI3,2
SLC66A1L,2
KCNJ15,2
LOXL4,2
FRRS1L,2
DDX43,2
FCRLA,2
SCIMP,2
POU3F1,2
AL157762.1,2
SLC6A2,2
AC005070.3,2
SENCR,2
CNKSR2,2
SCN11A,2
CCK,2
FILIP1,2
MGARP,2
SLC1A7,2
SLC22A18AS,2
AP000915.2,2
CMTM1,2
AL031595.3,2
HCN4,2
CST1,2
DLL3,2
PITX3,2
SLC17A4,2
LINC00632,2
SLC19A3,2
ZBTB20,2
CPNE5,2
CXCL11,2
LYPD5,2
GAP43,2
PLVAP,2
AL355075.4,2
IGLV6-57,2
CENPVL3,2
DGKI,2
IGHGP,2
ASPRV1,2
DOK6,2
KLRC1,2
MPL,2
LCTL,2
KCND3,2
SKAP2,2
PLAAT5,2
NEFL,2
SLC26A4,2
PTPN5,2
AC009950.1,2
AC132217.1,2
SFRP5,2
C11orf94,2
ASB11,2
AP001625.3,2
AL162231.2,2
ANXA13,2
FAM83B,2
TMEM275,2
AC007038.1,2
HEPACAM,2
TLR9,2
LAMC2,2
HIPK4,2
AC005224.2,2
CCKAR,2
DPYS,2
CARMIL2,2
SCGB2A2,2
PRDM16-DT,2
AC087672.2,2
CTRC,2
AC004951.1,2
IQUB,2
MAL,2
TFF1,2
LRRC34,2
SERPINE2,2
FOXS1,2
TFPI,2
RGS7BP,2
DNAH9,2
TINAGL1,2
ANKRD36C,2
HRNR,2
GPR78,2
AP000692.1,2
ARHGEF7-AS2,2
IGSF10,2
UTF1,2
OR4B1,2
HOXA6,2
AC100793.2,2
ANGPTL4,2
ERFL,2
AC090510.3,2
KCNJ3,2
BANF2,2
CRLF2,2
PID1,2
LINC00891,2
VEGFC,2
LINC01934,2
CLNK,2
AL355377.3,2
LGALS12,2
LHFPL1,2
LRRC38,2
MATN3,2
AC231981.1,2
Z97200.1,2
RHEBL1,2
PRRT4,2
C1orf189,2
LINC00924,2
MPO,2
IKZF3,2
ERFE,2
AC008269.1,2
LINC00839,2
HIST1H4C,2
DOCK8-AS1,2
TPSAB1,2
IGLV1-51,2
PFN4,2
FAT3,2
NEFM,2
NOX1,2
BOD1L2,2
SLIT2,2
TNNC1,2
CDH26,2
LINC01309,2
AL162390.1,2
RCAN2,2
OR6C70,2
CYP26C1,2
MMP26,2
EGFR,2
CERS3,2
NPY1R,2
RRAD,2
AC020656.1,2
TPO,2
PCDH18,2
PNMA5,2
AC104118.1,2
DIO3OS,2
NDNF,2
OPRK1,2
RASIP1,2
AC025048.2,2
OVOL3,2
CTTNBP2,2
C1GALT1C1L,2
MCTP1,2
OR51C1P,2
PIH1D3,2
OTOS,2
CD93,2
DMRTA2,2
LINC02084,2
SMIM10,2
HRG,2
APOD,2
OR4D1,2
DCTN1-AS1,2
SYCP2L,2
HOXB8,2
MAGEE2,2
STAC,2
AC090360.1,2
PGLYRP1,2
P2RY8,2
AC133919.1,2
AKR1C3,2
UVRAG-DT,2
ANKRD45,2
ID1,2
CTAGE1,2
ANGPTL7,2
SLFNL1,2
AC010359.3,2
LINC00840,2
AKAP12,2
AL683813.1,2
ARHGAP6,2
ADGRF5,2
ZSCAN10,2
NOG,2
SEMA3A,2
IGKV4-1,2
FAM182A,2
KIAA1614,2
MYT1L,2
WDR87,2
PDZRN4,2
SCGB3A1,2
AADACL2,2
LYG1,2
GLOD5,2
IL34,2
SPTB,2
AL122035.2,2
AL121821.2,2
LCN8,2
STXBP6,2
LILRA5,2
CFAP300,2
UBL4B,2
FAS,2
OTUD6A,2
CD22,2
AC013460.1,2
AP000350.6,2
VIM-AS1,2
ADGRL4,2
RPGRIP1,2
CCDC178,2
LITAFD,2
CPNE8,2
PRKCG,2
IGFBP6,2
IGLV3-1,2
OR2AG2,2
RORB,2
AC093292.1,2
BPI,2
ZNF724,2
ODAPH,2
IGHG2,2
AC004687.1,2
AMPD1,2
KLHL32,2
FUT6,2
GPR3,2
PLIN4,2
HPGDS,2
MMRN2,2
ACTN1-AS1,2
NPFFR2,2
TMEM255A,2
AL583856.2,2
CCDC136,2
SBSN,2
GALNT13,2
LINC00565,2
AC116348.1,2
DLL4,2
AC022164.1,2
TAF11L4,2
GFRA4,2
OR8B4,2
AC084740.1,2
LAMA1,2
CCL11,2
UTS2,2
DLGAP1-AS5,2
ZFHX4,2
LINC02328,2
VPREB3,2
BDNF,2
PKHD1,2
MLANA,2
CDO1,2
CCDC192,2
AL121845.4,2
LY6D,2
AC021097.2,2
KCNK12,2
BICC1,2
NRIP2,2
SAA2,2
AL136419.3,2
C8orf88,2
ADAMTSL4,2
TMEM179,2
GHRHR,2
CCDC82,2
BHMT2,2
VWCE,2
ZBTB20-AS2,2
PTH1R,2
FAM167B,2
PRKCZ-AS1,2
PLA2G5,2
AC109809.1,2
AL590764.1,2
CLIC2,2
CCL23,2
DNAJB13,2
MEG3,2
LINC00861,2
PNLDC1,2
PLA2G2C,2
HIST1H1B,2
IGF2,2
TCEAL2,2
GFI1B,2
PPP1R2C,2
CCDC88A,2
GPR182,2
AC022509.2,2
PABPC5,2
CYGB,2
FGFBP2,2
AC245060.5,2
RASGRF2,2
TRPA1,2
CCDC144A,2
GRIK1,2
AL034397.3,2
AC025569.1,2
SLC35G5,2
LINC01357,2
DMRT3,2
HLA-DOB,2
MYMX,2
RLBP1,2
KRT81,2
C1QTNF12,2
RAX,2
RIMBP2,2
ODF4,2
C12orf81,2
KRTAP2-3,2
LRRN3,2
AC148476.1,2
OR2L2,2
IL10,2
AL445426.1,2
CXCR5,2
CDH5,2
NELL1,2
MEG9,2
SIM1,2
LINC01140,2
CBLN2,2
SCRG1,2
RGS17,2
ADAMTS9-AS2,2
NPY2R,2
TREX2,2
SLC16A1-AS1,2
AC103769.1,2
AKR1C1,2
PPP1R27,2
MEIS2,2
B3GAT1,2
KCNK7,2
CCR2,2
FAM215B,2
MAP7D3,2
LINC01235,2
AC087071.1,2
CSNKA2IP,2
SND1-IT1,2
NLGN1,2
AC026356.2,2
MEG8,2
NBPF14,2
ASB12,2
CELF4,2
RBP4,2
C6orf15,2
VAT1L,2
SV2C,2
GPM6B,2
OSR2,2
CASQ2,2
PLAG1,2
AC126773.4,2
PPFIA2,2
MIA,2
ADCYAP1R1,2
ABCC9,2
SGK2,2
AC006141.1,2
DNM3,2
NR3C2,2
AC007998.3,2
ANKRD24,2
AC174065.1,2
AC010976.2,2
NXF3,2
AL133482.1,2
TTYH1,2
SLC35F1,2
PACRG,2
AJ009632.2,2
GLDN,2
NKAPL,2
SV2A,2
MIR99AHG,2
NPIPB5,2
RFTN2,2
ZCCHC18,2
SGCG,2
TMEM215,2
DRC1,2
ST8SIA2,2
ODF3L1,2
AC090152.1,2
GDF6,2
CIB2,2
FLACC1,2
TSHR,2
DMD,2
LHFPL6,2
NEGR1,2
NRK,2
KCNJ12,2
MMP27,2
IRX6,2
NCAM1,2
ANKRD44-IT1,2
TTLL6,2
RBM20,2
TCF23,2
VWA5B1,2
DZIP1,2
LILRA1,2
RAMP3,2
AC092490.1,2
IL25,2
ITM2A,2
CRISP3,2
LVRN,2
C8orf37-AS1,2
MUSTN1,2
ENOX1,2
LIPG,2
RBP3,2
RGN,2
PSG5,2
LAMC3,2
ANKRD36,2
RSPH9,2
RAB39B,2
CST7,2
EFHB,2
SLC16A7,2
DUSP18,2
EPHA7,2
MRAP,2
KRT31,2
IGLC3,2
GATA1,1
MECOM,1
PPARG,1
IGHV3-23,1
AL162311.3,1
AC004797.1,1
AC092809.2,1
TET1,1
IGLV3-25,1
HAND2-AS1,1
ERVE-1,1
AC008026.3,1
KCNA3,1
DM1-AS,1
LINC02224,1
AC017076.1,1
PCDHB14,1
ENDOU,1
AC135012.1,1
PIK3CD-AS1,1
AC007750.1,1
GRAPL,1
AASS,1
KCNC1,1
AC026369.2,1
AC006299.1,1
ZNF726,1
AC127537.1,1
IGLC6,1
AC106791.1,1
BHLHB9,1
TRIM15,1
NCKAP5-AS2,1
AC011944.1,1
PNMT,1
AC034236.3,1
SPIN2A,1
LINC00689,1
CARNMT1-AS1,1
SLC13A3,1
TLX2,1
ALB,1
HDAC11-AS1,1
KIF21B,1
AC000082.1,1
LINC02068,1
AC112219.2,1
LINC01485,1
CLDND2,1
AL450332.1,1
ERVK9-11,1
DDR2,1
AC025171.5,1
CIDEB,1
AL589765.6,1
SLC2A12,1
AL627171.1,1
AC090197.1,1
SILC1,1
AL021918.5,1
AC027808.2,1
MYL7,1
AP001062.3,1
AC024560.1,1
LRRC74B,1
SERPINA4,1
AC090186.1,1
AL139246.3,1
AQP5,1
RECK,1
AL353151.2,1
FBXL13,1
AC092902.4,1
AC007279.2,1
AL354953.1,1
AL589986.2,1
GPR37,1
SST,1
CPNE8-AS1,1
AMIGO2,1
TSPAN18,1
RGS6,1
AL445250.1,1
AC084782.3,1
MICU3,1
WEE2-AS1,1
ALPL,1
AL020997.3,1
IGLV3-10,1
HIST2H3D,1
IGLV5-45,1
AL731557.1,1
PCAT7,1
LINC00598,1
GGT5,1
AC060834.2,1
AC073254.1,1
NRXN2,1
THRSP,1
AC245140.3,1
AC011477.2,1
Z97192.3,1
HBG1,1
LINC02752,1
DHCR24-DT,1
HOGA1,1
AL449106.1,1
AL357140.1,1
C5orf66-AS1,1
HIST1H2AB,1
AC007993.3,1
BX664615.2,1
AC108749.1,1
SH3BGRL2,1
AC090948.4,1
RNF144A-AS1,1
ZNF559,1
CDKL1,1
AC022966.1,1
HFM1,1
STK4-AS1,1
AC023355.1,1
AC066613.1,1
IGKV3-15,1
DNAJC28,1
AC007541.1,1
RFPL2,1
AC087379.2,1
LINC02677,1
HAAO,1
LINC02156,1
AP000880.1,1
AL356488.2,1
CCNT2-AS1,1
AL137026.1,1
SCN4A,1
AL359504.2,1
SYT15,1
AL445183.2,1
AC099552.3,1
CERNA1,1
AC132938.3,1
AL049838.1,1
MAP10,1
AL139339.2,1
AP001453.1,1
AL359921.1,1
AC006064.5,1
AL590652.1,1
CETP,1
AL360013.3,1
IGHV3-7,1
DPEP1,1
AC093620.1,1
AC004938.2,1
AL450326.1,1
LINC01990,1
ADARB2-AS1,1
LINC02139,1
AC004492.1,1
AP000919.4,1
AC089998.4,1
AL162274.1,1
AL136985.3,1
AP000345.2,1
PROZ,1
AC114947.2,1
AL359844.1,1
PMM2,1
SLC25A34-AS1,1
DNAH6,1
SERPINB9P1,1
LINC01359,1
AP002433.1,1
HIST1H3B,1
AL590999.1,1
AL136084.3,1
IGKV1-39,1
DGAT2,1
NBPF20,1
NCMAP-DT,1
TP53TG5,1
AC007879.3,1
AL078605.1,1
ADPGK-AS1,1
LINC01119,1
MAATS1,1
AGBL4-IT1,1
AC093702.1,1
SLFN5,1
AL592146.2,1
AC093895.1,1
AP002490.1,1
ACVRL1,1
AC022558.3,1
AC118553.1,1
AC022126.1,1
GRIA2,1
AC002546.1,1
AL591623.1,1
PARD3B,1
AC137894.3,1
AL031123.1,1
NECAB1,1
AC025580.3,1
AL358334.2,1
RFTN1,1
IMPG2,1
AL133245.1,1
Z68871.1,1
VXN,1
AC147067.2,1
BX284668.6,1
OSBPL3,1
AC007066.3,1
AC004943.2,1
ERV3-1,1
CU638689.5,1
AL590867.1,1
AC011978.2,1
BX004987.1,1
MGST1,1
MAEL,1
AC123768.3,1
DOK3,1
ZNF626,1
BX284613.2,1
AC064875.1,1
AL049828.1,1
C18orf54,1
AC132872.1,1
PWWP3B,1
AL590369.1,1
AC006064.2,1
AC017071.1,1
RABGAP1L-DT,1
SCN1A-AS1,1
TDO2,1
AC021037.1,1
AC092111.1,1
SRSF12,1
AL356055.1,1
AGBL4,1
AC112187.3,1
AP001059.3,1
ARL15,1
MBP,1
AC069503.1,1
DISP2,1
NPTN-IT1,1
PICSAR,1
AC138356.1,1
CRB2,1
FFAR3,1
AL354811.1,1
AL390208.1,1
AC104116.1,1
AC105052.5,1
Z95118.2,1
KCNN1,1
AC061961.1,1
ANKRD34B,1
MT-ND6,1
SLC16A8,1
SMCR5,1
PAX6,1
VLDLR-AS1,1
BRINP2,1
IL20RB,1
AC090825.1,1
RIPPLY2,1
AC087362.2,1
SLC3A1,1
AC004590.1,1
SPATA21,1
TMEM9B-AS1,1
LINC02739,1
AC007728.2,1
MIR100HG,1
AL442003.1,1
AL450352.1,1
RNF150,1
AC025171.1,1
AC105446.1,1
CCDC102B,1
ALOXE3,1
LINC01607,1
AL513166.1,1
AC092384.1,1
BX005266.2,1
ZNF502,1
AC005534.1,1
LINC01752,1
AL034374.1,1
IGKV1D-39,1
ANKRD36B,1
SAA4,1
NMB,1
AC007637.1,1
LINC02300,1
MPPED1,1
RMRP,1
AC010327.4,1
C17orf99,1
C9orf72,1
MIR924HG,1
AL139393.1,1
TENT5A,1
AC116535.1,1
AC103724.4,1
CALML5,1
EFNA5,1
AC103702.1,1
HEXD-IT1,1
SLC6A4,1
STAC3,1
AC079807.1,1
AC104695.4,1
AC121493.1,1
AC005736.1,1
INE1,1
TSPEAR-AS2,1
INCA1,1
DENND2C,1
SCHIP1,1
AC112715.1,1
AL023803.2,1
FALEC,1
STARD4-AS1,1
AL596442.4,1
AC008494.3,1
AC017100.1,1
AC005865.2,1
CES4A,1
FAM133A,1
SNHG22,1
AC093788.1,1
AP000442.1,1
PPM1K,1
AL080317.1,1
AL390728.5,1
AC009812.1,1
AC116351.2,1
IGKV3-11,1
AC104117.3,1
CNNM3-DT,1
AC078795.1,1
DCLK2,1
CSTA,1
AL445649.1,1
EDA2R,1
BARX1,1
MYH6,1
ST8SIA4,1
FLVCR2,1
OGDHL,1
AC024588.1,1
AL121829.2,1
VSNL1,1
MIR155HG,1
JAM3,1
AC012645.4,1
QPRT,1
CEP135,1
SOX11,1
TSPOAP1-AS1,1
HIST1H1E,1
AL442067.3,1
AC008894.2,1
HIGD1B,1
LMO2,1
GPR183,1
ACOT6,1
AL139339.1,1
CNTNAP3,1
AC069360.1,1
AC091564.5,1
AL844908.1,1
RASL11A,1
AC093849.4,1
FRMD6-AS1,1
AC092807.3,1
GOLGA8A,1
LINC02043,1
AC005609.5,1
C21orf91,1
AC008655.1,1
AP002026.1,1
NCOA7,1
AC090206.1,1
PARD3-AS1,1
MUC5AC,1
TNFSF13B,1
EFCC1,1
LINC02256,1
SH3RF3-AS1,1
MYL4,1
AC131009.1,1
U91319.1,1
AC087164.1,1
AC108734.4,1
IDH2-DT,1
LINC01678,1
AC012101.2,1
PSMB8-AS1,1
CLIP2,1
AC092354.2,1
CCDC144NL-AS1,1
LINC00987,1
NR2F2-AS1,1
AC010226.1,1
POTEC,1
AC006427.2,1
CACNG1,1
AL022068.1,1
ROR1-AS1,1
TAS1R3,1
LINC01239,1
GSTM5,1
AL035446.1,1
FAM131C,1
ASRGL1,1
ZDHHC15,1
EGF,1
AC024337.2,1
AC069368.2,1
ZNF175,1
AC008760.2,1
AC046143.1,1
GRAP,1
GGTLC2,1
IGHV3-21,1
GRB14,1
AC026254.2,1
AC062004.1,1
CD34,1
TG,1
RHOXF1-AS1,1
CCR5AS,1
AC104051.2,1
AC000403.1,1
LINC02130,1
AC017104.1,1
LINC00824,1
AC079822.1,1
AC016745.2,1
MID1IP1-AS1,1
NRG2,1
AC095055.1,1
PZP,1
DAGLA,1
IGLV2-23,1
GJA4,1
ALMS1-IT1,1
AL162386.2,1
MSC-AS1,1
ZNF506,1
AL132655.2,1
AC034102.8,1
AC023024.1,1
TMEM155,1
AC011317.1,1
AC239803.1,1
AC021483.2,1
AC093849.2,1
FAM209A,1
SLITRK6,1
MEIS1,1
MCF2,1
H19,1
ZNF660,1
