collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
GO,Apoptotic Nuclear Changes (GO:0030262),GO_Apoptotic Nuclear Changes (GO:0030262),16,4,0.25,0.11366311,0.02063859,0.4439691267399805,0.0,0.0,True,0.4439691267399805
GO,Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),GO_Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),17,6,0.35294117647058826,0.12761821,0.02030818,0.29486538411677743,0.0,0.0,True,0.29486538411677743
GO,Neuron Maturation (GO:0042551),GO_Neuron Maturation (GO:0042551),17,4,0.23529411764705882,0.53907645,0.14687143,-0.2426326171819771,9.32508852756481e-234,4.4605006790185003e-231,True,0.2426326171819771
GO,Neuron Remodeling (GO:0016322),GO_Neuron Remodeling (GO:0016322),9,3,0.3333333333333333,0.71066976,0.25484902,-0.24067408874487678,6.41916534849383e-230,2.3028755687721613e-227,True,0.24067408874487678
GO,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),GO_Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),43,15,0.3488372093023256,0.21127972,0.034704562,-0.23527519022493812,1.6096037996601337e-219,4.6195629050245835e-217,True,0.23527519022493812
GO,Positive Regulation Of Endocytosis (GO:0045807),GO_Positive Regulation Of Endocytosis (GO:0045807),79,32,0.4050632911392405,0.19366053,0.016807534,-0.23325321065300827,1.0806211929940154e-215,2.5844856865773534e-213,True,0.23325321065300827
KEGG,Leishmaniasis,KEGG_Leishmaniasis,77,23,0.2987012987012987,0.24774557,0.024880638,-0.2265786243855165,2.548210518059122e-203,5.2238315620212005e-201,True,0.2265786243855165
KEGG,Chagas disease,KEGG_Chagas disease,102,38,0.37254901960784315,0.22605552,0.023218917,-0.2234995314445949,9.549421185895155e-198,1.7129274252199436e-195,True,0.2234995314445949
KEGG,Pertussis,KEGG_Pertussis,76,26,0.34210526315789475,0.36354852,0.04773273,-0.22258692885416503,4.1285481314177235e-196,6.582740631760482e-194,True,0.22258692885416503
KEGG,Complement and coagulation cascades,KEGG_Complement and coagulation cascades,85,34,0.4,0.3096662,0.027239023,-0.22026767010338263,5.493593207476733e-192,7.883306252729112e-190,True,0.22026767010338263
Reactome,Creation Of C4 And C2 Activators R-HSA-166786,Reactome_Creation Of C4 And C2 Activators R-HSA-166786,14,7,0.5,0.5949947,0.17717521,-0.2191754745271852,4.629398073231158e-190,6.039260213715192e-188,True,0.2191754745271852
Reactome,Classical Antibody-Mediated Complement Activation R-HSA-173623,Reactome_Classical Antibody-Mediated Complement Activation R-HSA-173623,6,5,0.8333333333333334,0.8292912,0.34454733,-0.2191194468673676,5.807967829993108e-190,6.945361530033426e-188,True,0.2191194468673676
GO,Positive Regulation Of Phagocytosis (GO:0050766),GO_Positive Regulation Of Phagocytosis (GO:0050766),60,26,0.43333333333333335,0.21016158,0.020034634,-0.2169592086955084,3.4734812078497835e-186,3.834188871741876e-184,True,0.2169592086955084
GO,Synapse Pruning (GO:0098883),GO_Synapse Pruning (GO:0098883),8,8,1.0,0.41331452,0.07927922,-0.2166267633031938,1.3132122696089563e-185,1.3460425763491803e-183,True,0.2166267633031938
GO,Positive Regulation Of Glucose Transmembrane Transport (GO:0010828),GO_Positive Regulation Of Glucose Transmembrane Transport (GO:0010828),31,8,0.25806451612903225,0.19324906,0.024948312,-0.21640295749869537,3.2108092336609916e-185,3.071674166869015e-183,True,0.21640295749869537
KEGG,Phagosome,KEGG_Phagosome,152,33,0.21710526315789475,0.25750083,0.027699385,-0.2159860102794356,1.693563039087569e-184,1.5189143506816634e-182,True,0.2159860102794356
GO,Regulation Of Receptor-Mediated Endocytosis (GO:0048259),GO_Regulation Of Receptor-Mediated Endocytosis (GO:0048259),39,11,0.28205128205128205,0.2914752,0.04450319,-0.21403434876949745,3.8812352084071226e-181,3.276219131802483e-179,True,0.21403434876949745
GO,Endocytosis (GO:0006897),GO_Endocytosis (GO:0006897),189,44,0.2328042328042328,0.17293775,0.015043887,-0.2132478271028326,8.584033213373219e-180,6.843382033994761e-178,True,0.2132478271028326
Reactome,Initial Triggering Of Complement R-HSA-166663,Reactome_Initial Triggering Of Complement R-HSA-166663,21,10,0.47619047619047616,0.6650847,0.13011436,-0.21195515021470498,1.3553202351325022e-177,1.0236234407448108e-175,True,0.21195515021470498
Reactome,Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424,Reactome_Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424,25,13,0.52,0.19369489,0.025251828,-0.21173026749589485,3.2583032716751257e-177,2.3378325974269026e-175,True,0.21173026749589485
