collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
Reactome,G2/M DNA Replication Checkpoint R-HSA-69478,Reactome_G2/M DNA Replication Checkpoint R-HSA-69478,5,5,1.0,0.18177652,0.03170237,0.5115252397806114,0.0,0.0,True,0.5115252397806114
Reactome,Phosphorylation Of Emi1 R-HSA-176417,Reactome_Phosphorylation Of Emi1 R-HSA-176417,6,6,1.0,0.2081405,0.03070894,0.4309182764706124,0.0,0.0,True,0.4309182764706124
Reactome,Condensation Of Prometaphase Chromosomes R-HSA-2514853,Reactome_Condensation Of Prometaphase Chromosomes R-HSA-2514853,10,10,1.0,0.24842067,0.02474816,0.4156352272229808,0.0,0.0,True,0.4156352272229808
Reactome,Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,Reactome_Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,13,13,1.0,0.50751823,0.03671853,0.4127534888513488,0.0,0.0,True,0.4127534888513488
MSigDB,Myc Targets V1,MSigDB_Myc Targets V1,200,164,0.82,0.57283896,0.031664286,0.40870442848311256,0.0,0.0,True,0.40870442848311256
Reactome,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,Reactome_APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,87,80,0.9195402298850575,0.48646617,0.019880136,0.40249051825994675,0.0,0.0,True,0.40249051825994675
Reactome,Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,Reactome_Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,14,14,1.0,0.390759,0.026855452,0.39068493631081175,0.0,0.0,True,0.39068493631081175
Reactome,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,Reactome_Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,76,70,0.9210526315789473,0.52849734,0.023993207,0.3890404251578908,0.0,0.0,True,0.3890404251578908
Reactome,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,Reactome_Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,80,73,0.9125,0.52018094,0.02249357,0.3881884354363864,0.0,0.0,True,0.3881884354363864
GO,Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),GO_Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),9,7,0.7777777777777778,0.23959835,0.029015483,0.3850417006839702,0.0,0.0,True,0.3850417006839702
Reactome,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,Reactome_APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,75,69,0.92,0.53343034,0.024321442,0.3821818724189439,0.0,0.0,True,0.3821818724189439
Reactome,Switching Of Origins To A Post-Replicative State R-HSA-69052,Reactome_Switching Of Origins To A Post-Replicative State R-HSA-69052,90,82,0.9111111111111111,0.49046785,0.020153118,0.371874248448023,0.0,0.0,True,0.371874248448023
GO,Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051987),GO_Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051987),10,10,1.0,0.35524234,0.026901007,0.3711849951377268,0.0,0.0,True,0.3711849951377268
Reactome,MASTL Facilitates Mitotic Progression R-HSA-2465910,Reactome_MASTL Facilitates Mitotic Progression R-HSA-2465910,10,10,1.0,0.41740102,0.035223026,0.36923447984807106,0.0,0.0,True,0.36923447984807106
Reactome,APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,Reactome_APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,73,67,0.9178082191780822,0.54633284,0.024185695,0.36659302360024626,0.0,0.0,True,0.36659302360024626
Reactome,APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,Reactome_APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,73,67,0.9178082191780822,0.54281896,0.024654763,0.3664844850715211,0.0,0.0,True,0.3664844850715211
GO,Positive Regulation Of RNA Biosynthetic Process (GO:1902680),GO_Positive Regulation Of RNA Biosynthetic Process (GO:1902680),9,9,1.0,0.2321954,0.020884667,0.3662388738339266,0.0,0.0,True,0.3662388738339266
Reactome,Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome_Assembly Of Pre-Replicative Complex R-HSA-68867,110,76,0.6909090909090909,0.5174979,0.022104675,0.36597452182632295,0.0,0.0,True,0.36597452182632295
Reactome,Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,Reactome_Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,72,66,0.9166666666666666,0.5498255,0.025175609,0.3632989100446081,0.0,0.0,True,0.3632989100446081
Reactome,mRNA Splicing - Minor Pathway R-HSA-72165,Reactome_mRNA Splicing - Minor Pathway R-HSA-72165,49,47,0.9591836734693877,0.5797286,0.031477503,0.36242917946701014,0.0,0.0,True,0.36242917946701014
