collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
Reactome,G2/M DNA Replication Checkpoint R-HSA-69478,Reactome_G2/M DNA Replication Checkpoint R-HSA-69478,5,5,1.0,0.1664213,0.028510349,0.487113246455673,0.0,0.0,True,0.487113246455673
Reactome,Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,Reactome_Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,13,12,0.9230769230769231,0.42224392,0.02932873,0.4121913329788429,0.0,0.0,True,0.4121913329788429
MSigDB,Myc Targets V1,MSigDB_Myc Targets V1,200,154,0.77,0.5708463,0.031888712,0.4002409819627669,0.0,0.0,True,0.4002409819627669
Reactome,Phosphorylation Of Emi1 R-HSA-176417,Reactome_Phosphorylation Of Emi1 R-HSA-176417,6,6,1.0,0.20041613,0.029459387,0.39774044735095515,0.0,0.0,True,0.39774044735095515
Reactome,Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,Reactome_Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,14,13,0.9285714285714286,0.40623406,0.026751548,0.3929057056106027,0.0,0.0,True,0.3929057056106027
Reactome,Condensation Of Prometaphase Chromosomes R-HSA-2514853,Reactome_Condensation Of Prometaphase Chromosomes R-HSA-2514853,10,10,1.0,0.24313867,0.024718942,0.38910090837442707,0.0,0.0,True,0.38910090837442707
Reactome,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,Reactome_APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,87,75,0.8620689655172413,0.5010563,0.021503827,0.37682726572329495,0.0,0.0,True,0.37682726572329495
Reactome,Mitochondrial Protein Import R-HSA-1268020,Reactome_Mitochondrial Protein Import R-HSA-1268020,65,56,0.8615384615384616,0.45465234,0.022617646,0.3735087617957526,0.0,0.0,True,0.3735087617957526
Reactome,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,Reactome_Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,76,65,0.8552631578947368,0.5449287,0.025788797,0.37107882479365806,0.0,0.0,True,0.37107882479365806
MSigDB,Oxidative Phosphorylation,MSigDB_Oxidative Phosphorylation,200,165,0.825,0.5877235,0.02915823,0.3693768210893651,0.0,0.0,True,0.3693768210893651
Reactome,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,Reactome_Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,80,69,0.8625,0.5319175,0.024250347,0.3681485109902769,0.0,0.0,True,0.3681485109902769
Reactome,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,Reactome_APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,75,64,0.8533333333333334,0.5506099,0.026256807,0.3631284371226363,0.0,0.0,True,0.3631284371226363
GO,DNA Strand Elongation Involved In DNA Replication (GO:0006271),GO_DNA Strand Elongation Involved In DNA Replication (GO:0006271),12,12,1.0,0.2939741,0.029149245,0.3615084427058867,0.0,0.0,True,0.3615084427058867
GO,Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),GO_Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),9,6,0.6666666666666666,0.27179083,0.03453997,0.36057075036440195,0.0,0.0,True,0.36057075036440195
Reactome,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,Reactome_Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,163,141,0.8650306748466258,0.5462791,0.025020601,0.3603757030716023,0.0,0.0,True,0.3603757030716023
GO,NADH Dehydrogenase Complex Assembly (GO:0010257),GO_NADH Dehydrogenase Complex Assembly (GO:0010257),53,46,0.8679245283018868,0.53873366,0.029287858,0.35595023810102416,0.0,0.0,True,0.35595023810102416
GO,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),GO_Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),53,46,0.8679245283018868,0.53873366,0.029287858,0.35595023810102416,0.0,0.0,True,0.35595023810102416
Reactome,Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,Reactome_Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,28,26,0.9285714285714286,0.4360098,0.02185675,0.3547808924317546,0.0,0.0,True,0.3547808924317546
Reactome,Respiratory Electron Transport R-HSA-611105,Reactome_Respiratory Electron Transport R-HSA-611105,90,80,0.8888888888888888,0.6279621,0.035749603,0.3524991307517383,0.0,0.0,True,0.3524991307517383
GO,Positive Regulation Of RNA Biosynthetic Process (GO:1902680),GO_Positive Regulation Of RNA Biosynthetic Process (GO:1902680),9,9,1.0,0.2516664,0.021656191,0.35245379352485917,0.0,0.0,True,0.35245379352485917
