collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
Reactome,G2/M DNA Replication Checkpoint R-HSA-69478,Reactome_G2/M DNA Replication Checkpoint R-HSA-69478,5,5,1.0,0.16089083,0.027548319,0.4704188514478959,0.0,0.0,True,0.4704188514478959
Reactome,Phosphorylation Of Emi1 R-HSA-176417,Reactome_Phosphorylation Of Emi1 R-HSA-176417,6,6,1.0,0.18423061,0.02834039,0.39743148107692916,0.0,0.0,True,0.39743148107692916
Reactome,"Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767","Reactome_Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767",7,7,1.0,0.22132869,0.025484402,0.370194935651032,0.0,0.0,True,0.370194935651032
Reactome,Phosphorylation Of APC/C R-HSA-176412,Reactome_Phosphorylation Of APC/C R-HSA-176412,20,17,0.85,0.32595873,0.01889916,0.36726557749877736,0.0,0.0,True,0.36726557749877736
Reactome,Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,Reactome_Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,14,13,0.9285714285714286,0.38509184,0.027339084,0.3667947994283169,0.0,0.0,True,0.3667947994283169
MSigDB,Myc Targets V1,MSigDB_Myc Targets V1,200,154,0.77,0.57814413,0.030574972,0.3485537413190642,0.0,0.0,True,0.3485537413190642
Reactome,Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,Reactome_Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,13,12,0.9230769230769231,0.4266056,0.029055998,0.34792263903584025,0.0,0.0,True,0.34792263903584025
GO,DNA Strand Elongation Involved In DNA Replication (GO:0006271),GO_DNA Strand Elongation Involved In DNA Replication (GO:0006271),12,12,1.0,0.25665635,0.022353187,0.3475825157589118,0.0,0.0,True,0.3475825157589118
GO,Positive Regulation Of RNA Biosynthetic Process (GO:1902680),GO_Positive Regulation Of RNA Biosynthetic Process (GO:1902680),9,9,1.0,0.23339719,0.02153625,0.34050338042918754,0.0,0.0,True,0.34050338042918754
GO,Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051987),GO_Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051987),10,10,1.0,0.35014352,0.026194831,0.3350081886550136,0.0,0.0,True,0.3350081886550136
GO,Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),GO_Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),15,15,1.0,0.24784388,0.021947475,0.33166795012550604,0.0,0.0,True,0.33166795012550604
Reactome,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,Reactome_APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,87,75,0.8620689655172413,0.51825595,0.022759922,0.3291293532699964,0.0,0.0,True,0.3291293532699964
GO,Mitotic Spindle Elongation (GO:0000022),GO_Mitotic Spindle Elongation (GO:0000022),10,7,0.7,0.11522355,0.020584295,0.3279570759391795,0.0,0.0,True,0.3279570759391795
GO,Mitotic Spindle Midzone Assembly (GO:0051256),GO_Mitotic Spindle Midzone Assembly (GO:0051256),10,7,0.7,0.11522355,0.020584295,0.3279570759391795,0.0,0.0,True,0.3279570759391795
GO,Regulation Of Mitotic Cytokinesis (GO:1902412),GO_Regulation Of Mitotic Cytokinesis (GO:1902412),6,6,1.0,0.121047385,0.024192544,0.32680273943555616,0.0,0.0,True,0.32680273943555616
GO,Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),GO_Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),9,6,0.6666666666666666,0.250125,0.030837543,0.321611735028498,0.0,0.0,True,0.321611735028498
KEGG,Thermogenesis,KEGG_Thermogenesis,232,176,0.7586206896551724,0.55259883,0.019278154,0.3166345888195259,0.0,0.0,True,0.3166345888195259
Reactome,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,Reactome_Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,80,69,0.8625,0.55163836,0.025412481,0.3141641164181046,0.0,0.0,True,0.3141641164181046
Reactome,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,Reactome_Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,76,65,0.8552631578947368,0.57252103,0.028181264,0.31309704920513526,0.0,0.0,True,0.31309704920513526
KEGG,Spliceosome,KEGG_Spliceosome,150,115,0.7666666666666667,0.5060382,0.02146606,0.3111693098388564,0.0,0.0,True,0.3111693098388564
