flux_feature,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
M_164,0.0956615342422707,1.22872711150998e-11,1.3586401189583135e-11,0.00021220450403200002,0.00020867246004535755,1.016926258433311,1.474472533811976e-09,True,0.0956615342422707
M_137,0.08316680065030733,3.90101704077066e-09,4.127397712195059e-09,0.0219828739568,0.021875910421291354,1.0048895581234663,2.3406102244623958e-07,True,0.08316680065030733
M_139,0.07945344517516116,1.8596895553757074e-08,1.9485302943202844e-08,0.02719494386,0.027055641508804695,1.0051487358431317,7.43875822150283e-07,True,0.07945344517516116
M_69,0.07723197151657421,4.581460003946183e-08,4.7754409423283394e-08,0.00022749965790399998,0.00022600126209978654,1.0066300329046474,1.1561335988624063e-06,True,0.07723197151657421
M_141,0.07710653817367046,4.8172233285933595e-08,5.0197805163875e-08,0.0034240287662399994,0.0034222666369530413,1.0005149012259684,1.1561335988624063e-06,True,0.07710653817367046
M_149,0.07587265840978201,7.859082221593949e-08,8.167617760027345e-08,0.030335420154400005,0.030270098808164354,1.0021579495544306,1.5137459094551133e-06,True,0.07587265840978201
M_33,0.07557614026142188,8.830184471821494e-08,9.171114018204922e-08,0.010209193893492,0.00934489171695472,1.0924892660841805,1.5137459094551133e-06,True,0.07557614026142188
M_148,0.07291820853275692,2.4609931167323365e-07,2.5425755057180617e-07,0.029180069362400002,0.028910952156083244,1.009308486447069,3.691489675098505e-06,True,0.07291820853275692
M_127,0.07136395908202016,4.409724812376415e-07,4.5430823563142897e-07,-0.00014054066853616,-0.00014129544819407514,inf,5.879633083168554e-06,True,0.07136395908202016
M_143,0.0706600715406204,5.72045239753014e-07,5.886287452127656e-07,3.63382697248e-05,3.559014530442903e-05,1.021020549760944,6.864542877036168e-06,True,0.0706600715406204
M_61,0.06917139126676011,9.839684551530786e-07,1.0100151924691268e-06,0.00023965504481600003,0.00022660113444583778,1.0576074360884649,1.0734201328942676e-05,True,0.06917139126676011
M_6,0.06779783798790825,1.60743485782354e-06,1.6464896903177605e-06,0.0050839649172,0.005077322152427962,1.0013083205226323,1.4986571337898785e-05,True,0.06779783798790825
M_145,0.06776965850043708,1.6235452282723685e-06,1.6629214043753221e-06,0.000860002171528,0.0008529629897411952,1.008252622764958,1.4986571337898785e-05,True,0.06776965850043708
M_142,0.067376136137291,1.865392001371425e-06,1.9095204490831647e-06,0.037637442792800006,0.03762119345197439,1.0004319198657627,1.5989074297469356e-05,True,0.067376136137291
M_110,0.06713688340829731,2.0289621209428842e-06,2.076235613882338e-06,0.0286519557256,0.02864718775747065,1.0001664375634256,1.6231696967543074e-05,True,0.06713688340829731
M_45,0.06601216513703909,3.0008898812022977e-06,3.0659265031833245e-06,0.00021867271422417315,0.00020267475948736565,1.0789341246895856,2.1816932769729744e-05,True,0.06601216513703909
M_42,0.06592666806051829,3.0907321423783804e-06,3.1573447502927237e-06,0.014194920533599997,0.014115676686232656,1.0056138893748274,2.1816932769729744e-05,True,0.06592666806051829
M_162,0.06491335353550688,4.372426240735154e-06,4.460603606929849e-06,0.00053723719716,0.0005319079238553895,1.0100191650953096,2.9149508271567692e-05,True,0.06491335353550688
M_54,0.06419895688647219,5.567166228227685e-06,5.674225163431377e-06,3.712470261051461e-05,2.7039885743639478e-05,1.3729607795864063,3.516104986249064e-05,True,0.06419895688647219
M_140,0.06392613420599216,6.1011889264022585e-06,6.216388709350319e-06,0.044968408151200005,0.04441054827561366,1.01256142734659,3.660713355841355e-05,True,0.06392613420599216
M_166,0.058864680462096274,3.125845883127695e-05,3.167166065186552e-05,0.00014594074024045119,0.0001346998775142211,1.0834511725895468,0.00017861976475015402,True,0.058864680462096274
M_159,0.057954314147596914,4.1388249354608296e-05,4.189946648365274e-05,0.029962720192799996,0.029936783470917827,1.0008663830537228,0.00022575408738877254,True,0.057954314147596914
M_56,0.05627511600945358,6.873718119351836e-05,6.948383144151964e-05,0.000387421071648,0.00038274599230256134,1.0122145742593252,0.0003586287714444436,True,0.05627511600945358
M_152,0.05512842959701584,9.643953670620228e-05,9.739656508106576e-05,0.025351833785600002,0.02523301288633938,1.0047089461649248,0.0004821976835310114,True,0.05512842959701584
M_79,-0.05461480730032119,0.0001120052934267318,0.00011307190196948034,0.0331339463808,0.03321477573452508,0.9975664639625712,0.0005316529922074048,True,0.05461480730032119
M_25,0.05451803727934727,0.0001151914816449377,0.0001162798877571247,-3.1006384209905682e-06,-4.0158544559497675e-06,inf,0.0005316529922074048,True,0.05451803727934727
M_84,-0.05372173199107706,0.00014485136699186833,0.00014613389562640865,0.00410198394024,0.004131835765101388,0.9927751666429907,0.0006437838532971925,True,0.05372173199107706
M_35,0.049307429468797126,0.0004882640873537083,0.0004912102719889587,-0.000130089016256008,-0.0001553032269238663,inf,0.0020925603743730354,True,0.049307429468797126
M_94,-0.0479077775410034,0.0007040117771779385,0.0007077384670957566,0.00399657194448,0.004002214013313767,0.9985902630856326,0.0029131521814259524,True,0.0479077775410034
M_70,0.047519037307048005,0.0007780454401925415,0.0007820133495158799,0.0228061520272,0.022772270713180363,1.0014878320412741,0.003112181760770166,True,0.047519037307048005
M_78,0.046187919838826835,0.001089811321649148,0.0010946876284654702,2.2172074483024607e-05,1.9540404691507115e-05,1.1346783668539526,0.004218624470899927,True,0.046187919838826835
M_100,0.04593878419529582,0.0011596810548731764,0.001164741556245927,0.001019242234064,0.0010085547013553896,1.010596879568602,0.004348803955774412,True,0.04593878419529582
M_168,0.045242159183477126,0.001377607908430291,0.0013832068005485332,0.0020083874230016003,0.001947450560366062,1.031290582608723,0.005009483303382876,True,0.045242159183477126
